"m100" "m200" "m400" "m800" "m1500" "m3000" "Marathon"
"argentin" 11.61 22.94 54.5 7740 15948 35244 642672
"australi" 11.2 22.35 51.08 7128 14868 32688 548532
"austria" 11.43 23.09 50.62 7164 15192 33624 573732
"belgium" 11.41 23.04 52 7200 14904 31968 568260
"bermuda" 11.46 23.05 53.3 7776 16488 35316 611928
"brazil" 11.31 23.17 52.8 7560 16164 35172 607500
"burma" 12.14 24.47 55 7848 16020 34236 687672
"canada" 11 22.25 50.06 7200 14616 31716 538020
"chile" 12 24.52 54.9 7380 15228 33732 616968
"china" 11.95 24.41 54.97 7488 15588 33516 606528
"columbia" 11.6 24 53.26 7596 15660 34056 595512
"cookis" 12.9 27.1 60.4 8280 17424 39960 839592
"costa" 11.96 24.6 58.25 7956 16848 37548 618480
"czech" 11.09 21.97 47.99 6804 14904 32112 571860
"denmark" 11.42 23.52 53.6 7308 15048 31356 546300
"domrep" 11.79 24.05 56.05 8064 17064 35604 733968
"finland" 11.13 22.39 50.14 7308 14760 32112 555228
"france" 11.15 22.59 51.73 7200 14904 32328 558972
"gdr" 10.81 21.71 48.16 6948 14256 31500 567648
"frg" 11.01 22.39 49.75 7020 14508 30924 534708
"gbni" 11 22.13 50.46 7128 14508 31032 538992
"greece" 11.79 24.08 54.93 7452 15660 35532 655920
"guatemal" 11.84 24.54 56.09 8208 17496 37944 774288
"hungary" 11.45 23.06 51.5 7236 14904 32328 562932
"india" 11.95 24.28 53.6 7560 15552 35928 676908
"indonesi" 11.85 24.24 55.34 7992 16596 36072 724608
"ireland" 11.43 23.51 53.24 7380 14796 32004 537768
"israel" 11.45 23.57 54.9 7560 15300 33732 577728
"italy" 11.29 23 52.01 7056 14328 31068 546552
"japan" 11.73 24 53.73 7524 15660 33120 541800
"kenya" 11.73 23.88 52.7 7200 14940 33120 651780
"korea" 11.96 24.49 55.7 7740 15912 34632 592740
"dprkorea" 12.25 25.78 51.2 7092 15300 33660 645012
"luxembou" 12.03 24.96 56.1 7452 15768 34704 628848
"malaysia" 12.23 24.21 55.09 7884 16884 37656 655812
"mauritiu" 11.76 25.08 58.1 8172 17244 39240 940068
"mexico" 11.89 23.62 53.76 7344 15300 34524 570708
"netherla" 11.25 22.81 52.38 7164 14616 32436 548928
"nz" 11.55 23.13 51.6 7272 15048 31536 523728
"norway" 11.58 23.31 53.12 7308 14436 30708 523728
"png" 12.25 25.07 56.96 8064 17424 38484 838800
"philippi" 11.76 23.54 54.6 7884 16560 36576 721332
"poland" 11.13 22.21 49.29 7020 14364 32292 578952
"portugal" 11.81 24.22 54.3 7524 14976 31824 544320
"rumania" 11.44 23.46 51.2 6912 14256 30708 595620
"singapor" 12.3 25 55.08 7632 16272 35784 657972
"spain" 11.8 23.98 53.59 7380 14904 32472 585360
"sweden" 11.16 22.82 51.79 7272 14832 31824 556128
"switzerl" 11.45 23.31 53.11 7272 14652 31572 552312
"taipei" 11.22 22.62 52.5 7560 15768 34668 640332
"thailand" 11.75 24.46 55.8 7920 16992 37008 606420
"turkey" 11.98 24.44 56.45 7740 15732 33768 723888
"usa" 10.79 21.83 50.62 7056 14220 30600 513792
"ussr" 11.06 22.19 49.19 6804 13932 30420 544392
"wsamoa" 12.74 25.85 58.73 8388 20916 46944 1101600
