"model" "price" "condition"
"SwiftRider" 99.4843156419338 8.06
"AeroCycle" 1603.58976783252 7.69
"UrbanCruiser" 159.174327343297 9.87
"MountainMarauder" 252.143911023513 9.66
"TrailBlazer" 123.965090779824 5.64
"CitySprint" 141.174963921477 8.87
"EcoPedal" 34.1239676147544 5.47
"AdventureSeeker" 77.4784629252608 9.89
"RoadWarrior" 134.289779684936 9.45
"BeachBreeze" 645.483726965062 7.55
"StreetGlider" 74.4404889403454 6.46
"RetroRider" 105.63608215666 6.56
"SpeedDemon" 41.6791081640293 7.25
"CrossTerrain" 165.67035487373 6.84
"PedalPower" 98.4944301619463 8.77
"GravityGlider" 83.0962853583438 5.09
"FreeWheel" 138.379512339961 8.8
"StealthRider" 42.948425978763 9.87
"FusionCycles" 41.2643941086108 8.94
"CycloQuest" 177.682810993364 8.17
