"Tokyo" "Seoul" "Shanghai" "Beijing" "Guangzhou" "Hong Kong" "Taipei" "Osaka" "Singapore" "Bangkok" "Kuala Lumpur" "Jakarta" "Manila" "Hanoi" "Ho Chi Minh City" "Delhi" "Mumbai" "Kolkata" "Chennai" "Bangalore" "Hyderabad" "Ahmedabad" "Pune" "Jaipur" "Lucknow" "Istanbul" "Moscow" "Saint Petersburg" "London" "Paris" "Madrid" "Barcelona" "Berlin" "Frankfurt" "Munich" "Hamburg" "Rome" "Milan" "Naples" "Turin" "Lisbon" "Porto" "Athens" "Budapest" "Prague" "Warsaw" "Vienna" "Stockholm" "Copenhagen" "Amsterdam" "Rotterdam" "Brussels" "Zurich" "Geneva" "Dubai" "Abu Dhabi" "Riyadh" "Jeddah" "Doha" "Kuwait City" "Cairo" "Johannesburg" "Cape Town" "Pretoria" "Casablanca" "Algiers" "Tunis" "Mexico City" "Monterrey" "Guadalajara" "Buenos Aires" "Santiago" "Lima" "Bogotá" "Medellín" "Caracas" "São Paulo" "Rio de Janeiro" "Belo Horizonte" "Brasília" "Salvador" "Recife" "Fortaleza" "Porto Alegre" "Sydney" "Melbourne" "Brisbane" "Perth" "Vancouver" "Toronto"
"Tokyo" 0 1.83626213606297 1.22834694889984 0.363415314059351 1.33689829213995 1.02289722569949 0.463835419059988 1.75903396727916 0.816834757479923 0.46299627929079 1.97940057696091 1.07776114370011 0.312344809094304 1.61918416636586 1.07573041486894 0.160247713063875 1.78508935396025 1.19188397396263 0.69616877626878 1.66005019641738 0.975050071027556 0.361555518611562 2.01847859177765 0.925390273243921 0.816617972084454 1.85058114820654 1.04551962279973 0.331693598335072 2.12484173044806 1.09705828157021 0.337656718373097 1.99347627387026 0.773857416629543 0.0333799020412866 1.98625784997479 1.28721908874782 0.591714667414398 1.96022043267473 1.15140618505161 0.60602158649441 1.73083962466211 1.07466195546345 0.585816854645997 2.14151711277121 0.79660642365266 0.761413279059313 1.40899819356404 1.41013656549355 0.812935093271652 1.96116444915582 1.00278202148561 0.214615721639064 2.00878038627912 1.39028153004046 0.402955322382822 1.95042725179784 1.11810335082205 0.279167920290838 1.67170427148373 1.05716347328917 0.882364879743814 1.76152148847158 0.940165699011962 0.822681443822219 2.24015551836408 1.20176790871118 0.286503602628164 1.84250142302704 1.14373841069373 0.255666594557306 1.85515058299482 1.14365075390531 0.420220649713883 2.05743318596632 0.978645711214977 0.111855519694683 1.99265791663105 1.14536142623617 0.374996248377702 1.83200681457276 0.666152413046533 0.727250229084891 1.36107886505867 1.01037855872466 0.320232235000748 1.84536104063574 1.30480647725325 0.400658200117719 1.79822539310163 1.09371654226815
"Seoul" 1.83626213606297 0 0.974906979616343 1.09010889808353 0.38399989391607 0.813364910363477 0.974744672663074 0.0772281687838066 1.01942737858305 1.37326585677218 0.143138440897944 1.27108614366381 1.52391732696867 0.179704355547569 1.02877272719451 1.19711555016947 0.051172782102724 1.1165909400376 0.846386794479552 0.176211939645594 0.982713985210261 1.04588335803195 0.26214384555272 0.910871862819049 1.01964416397852 0.0143190121435726 0.79074251326324 1.06389169402418 0.288579594385089 1.24152921031153 1.07570817033764 0.14835165710134 1.11849675165113 1.33341480908148 0.529266302238289 0.630755449946918 0.991728026629618 0.252119352171764 0.739288464242365 0.874534526195691 0.511021133947099 0.751598949561689 1.02655701015415 0.216205724708074 0.969549603659321 0.901245413285012 0.393965153404029 0.581091579083505 0.916865488518774 0.211477520806177 0.674749262553449 1.2081583174513 0.181500194483014 0.724289558940726 1.14156661169443 0.094334896425115 0.711227370949376 1.22999527859691 0.289846495307917 0.82533559119439 0.913004157215569 0.328986709372727 0.823679240480732 0.894322935096855 0.422010807917454 0.669760149358707 1.26688253822682 0.163509638116714 0.607243083525025 1.28887986551843 0.354930575110899 0.778663228834689 1.11025114975776 0.2833500124065 1.05457451309913 1.4564318863911 0.1301138951574 0.727181278085873 1.0472558460839 0.104762753644735 1.11464465768852 1.02832392152499 0.603369544407962 0.743897324967464 1.1307033020305 0.40597520326657 0.606042175018312 1.1091323622958 0.116350319181886 0.845256497211808
"Shanghai" 1.22834694889984 0.974906979616343 0 0.824537170507732 0.728168788273772 0.20544972320035 1.10732302505104 0.53068701837932 0.41151219141992 0.765350669609053 0.751053628061071 0.297102747341513 0.916002139805539 0.828997570304565 0.107934736527511 1.0338436625385 0.556742405060403 0.146656208643276 0.722884223283497 0.431703247517533 0.20697961871186 1.13526532554577 0.854641074940833 0.302956675655923 0.411728976815389 0.622234199306699 0.182827326100114 1.0793555190413 0.896494781548215 0.267725575977281 1.23304129274584 1.11352586096393 0.324699040751463 1.52201556858957 1.49305103941555 0.380187770945329 1.40626877616194 1.22599381182516 0.321065278707286 1.0604400075585 1.42556698064928 0.367178383788558 1.46861515071861 1.09750556343871 0.390125461170886 1.39889263536122 1.13507892272406 0.399406407611265 1.46778056391051 1.18632669068219 0.569277040265504 1.44573615264786 1.1504143648163 0.250670631294793 1.51712564414068 1.05553862926002 0.385031513344921 1.57361832967793 1.18278977888731 0.287216498701093 1.51028654420162 1.2575784443649 0.403926612321611 1.43882637340794 1.38484312333032 0.378209277726757 1.65100500179164 0.833622911680223 0.519383505368266 1.66558909059652 1.30713655043509 0.276231835021542 1.47026829127476 1.25645807594505 0.176989907933828 1.84857945578963 1.08739279052399 0.341472881059416 1.20721840909667 1.06868879089842 0.41766907213948 1.58045707935212 1.37937250259222 0.441962165165918 1.39163304623319 1.35320949626279 0.40320057420624 1.44566234508045 1.06722115106671 0.232962260062858
"Beijing" 0.363415314059351 1.09010889808353 0.824537170507732 0 0.709305365063005 0.659481911640141 0.419452887494337 1.39561865321981 0.453419443420572 0.0995809652314386 1.61598526290156 0.971931967413909 0.0510705049650476 0.916910441720148 0.749480967324793 0.209864610588826 1.42167403990089 0.910772642663376 0.243897807844992 1.29663488235802 0.623608124091652 0.402598865145912 1.17405380652953 0.561974959184569 0.453202658025103 1.48716583414719 0.682104308740378 0.321291822525155 1.76142641638871 0.956930179830255 0.507387337397084 1.22685190485533 0.583880412959271 0.750146910619805 1.42244076062999 0.676288269788122 0.795815384766527 1.25965094100845 0.605337540202509 0.446127671035321 1.27271713037639 0.542078760809038 0.858104283730236 1.30103208259743 0.435880692736728 0.854069746282201 0.936534091346867 0.76051492617947 0.940433726992535 1.24128029850581 0.452147585937208 0.710355124682217 1.24977070276328 0.797579768962459 0.847831304942942 1.181870916556 0.561900774193898 0.872344682101353 1.09587906325947 0.571156904110938 1.00660926031316 1.18136302526002 0.456108309669374 0.916414292814152 1.47017070613346 0.618168775672642 0.959266331347529 1.05782469331433 0.553015798575224 0.966955789862972 1.25322077547477 0.620212848493443 0.802685239714968 1.32157164669691 0.694019810068328 1.1325737726961 1.21645659998281 0.593833323794733 0.492665561280146 1.12271515173497 0.475754886038561 1.02019813501039 1.08410597875109 0.478059962681449 0.682312369933598 1.27592636135963 0.683119657669937 0.769346173418192 1.10397361151773 0.618486553265732
"Guangzhou" 1.33689829213995 0.38399989391607 0.728168788273772 0.709305365063005 0 0.314001066440453 0.663190765930252 0.422135675139217 0.520063534660023 0.873902012849156 0.642502284820968 1.01810335623191 1.02455348304564 0.20771304198119 0.749229177319058 0.832215044644939 0.4481910618203 0.874516370393533 0.465504064035386 0.32315190427743 0.671069931530609 0.727483076135947 0.488123032238394 0.411508018896025 0.520280320055492 0.513682856066597 0.291378669340216 0.726317538365796 0.787943438308113 0.989862984833475 0.782369910201986 0.526896942007273 0.786039048262439 1.06917638659468 0.811778178427314 0.347987729603783 0.804676784671886 0.586743777581193 0.428269334954141 0.570117080958537 0.713120439168748 0.416892301678097 0.85689067677955 0.591935037540113 0.614432646188269 0.754416627334745 0.406962333266231 0.349810840085328 0.804381837116405 0.559057848186215 0.295586167096866 0.955066685200592 0.554174698638786 0.502542014170936 0.945224283988641 0.477594166849684 0.379976729039061 1.02385116683184 0.478972928159977 0.504078675247679 0.830906696586678 0.562468220224863 0.468602787201786 0.776256176708905 0.788042598218918 0.35930797866213 1.08185997377868 0.357735265349784 0.24899123683277 1.10141781392639 0.62443016587004 0.474549822038864 0.904302821249431 0.639923730637607 0.75559197082112 1.28372172687077 0.513006077786529 0.410693251968827 0.752316598836496 0.433488898860524 0.761675796290874 0.922971984402986 0.652287927216211 0.386448758805418 0.881720830323931 0.662820793618705 0.325344924929752 0.89197357187649 0.419719929930341 0.539619424237993
"Hong Kong" 1.02289722569949 0.813364910363477 0.20544972320035 0.659481911640141 0.314001066440453 0 0.559061806639505 0.73613674157967 0.20606246821957 0.559900946408703 0.956503351261421 0.0548639180006197 0.710552416605189 0.596286940666365 0.052833189169444 0.862649512635618 0.762192128260753 0.168986748263136 0.326728449430713 0.637152970717883 0.0478471546719369 0.661341707087931 0.995581366078155 0.0975069524555722 0.206279253615039 0.82768392250705 0.0226223971002365 0.69120362736442 1.10194450474857 0.0741610558707193 0.685240507326396 0.970579048170762 0.24903980906995 0.989517323658206 0.963360624275299 0.264321863048324 0.431182558285095 0.93732320697524 0.128508959352119 0.416875639205083 0.70794239896262 0.0517647297639569 0.437080371053495 1.11861988707172 0.226290802046833 0.26148394664018 0.386100967864544 0.387239339794053 0.209962132427841 0.938267223456329 0.0201152042138855 0.808281504060429 0.985883160579627 0.367384304340965 0.619941903316671 0.927530026098347 0.0952061251225575 0.743729305408655 0.64880704578424 0.0342662475896764 0.140532345955679 0.738624262772084 0.0827315266875311 0.200215781877273 1.21725829266459 0.178870683011686 0.736393623071329 0.819604197327548 0.120841184994236 0.767230631142187 0.832253357295325 0.12075352820582 0.602676575985609 1.03453596026682 0.0442515144845161 0.91104170600481 0.969760690931558 0.122464200536681 0.647900977321791 0.809109588873264 0.35674481265296 0.295646996614601 0.338181639359178 0.0125186669748312 0.702664990698745 0.822463814936247 0.281909251553755 0.622239025581774 0.775328167402141 0.0708193165686585
"Taipei" 0.463835419059988 0.974744672663074 1.10732302505104 0.419452887494337 0.663190765930252 0.559061806639505 0 1.29519854821918 0.352999338419935 0.000839139769197842 1.51556515790093 1.31734659917935 0.151490609965684 0.837600623633833 1.06066237406928 0.337487449124382 1.32125393490026 1.22427022647721 0.385898953532432 1.19621477735739 0.935338564811643 0.0731250677260712 1.1448347314463 0.461554854183933 0.352782553024466 1.38674572914655 0.581684203739742 0.131755327655913 1.66100631138807 1.29723677498304 0.129356087718952 1.08164116551139 0.945795936678051 0.427036847263884 1.15816466295146 0.827833468899533 0.376879662180069 1.06799517934882 0.811693021019426 0.10055309899212 0.98701248319825 0.752066296479392 0.438734141586345 1.1889237795374 0.760805615579542 0.445761444086649 0.687560125468982 0.89093886688444 0.532378022185314 1.06355671290836 0.567067793316274 0.338594162245505 1.0932875986838 0.990861968220491 0.436101235157611 1.05204072476288 0.749236618401787 0.475202288076181 0.871653740765204 0.821195635172135 0.601746339539038 0.946805702468434 0.703508334962995 0.510996312090643 1.27505097197858 0.786630911661285 0.558580812681624 1.0076192128826 0.658831486612611 0.569888679496547 1.01843377204609 0.846472933475705 0.389503586782566 1.1361225348625 1.02123093145363 0.747755109050765 1.08128161035529 0.793186595000845 0.101087199616041 0.967535283773931 0.85039245694449 0.603300850750236 0.755275166918407 0.673987440262444 0.286806932643426 1.02627818235462 0.821536585953214 0.358292350640773 0.943808523241012 0.875529179968637
"Osaka" 1.75903396727916 0.0772281687838066 0.53068701837932 1.39561865321981 0.422135675139217 0.73613674157967 1.29519854821918 0 0.94219920979924 1.29603768798837 0.220366609681751 0.681272823579051 1.44668915818486 0.139849800913305 0.683303552410226 1.59878625421529 0.0260553866810826 0.567149993316534 1.06286519101038 0.0989837708617869 0.783983896251607 1.3974784486676 0.259444624498485 0.833643694035242 0.942415995194709 0.0915471809273792 0.713514344479434 1.42734036894409 0.365807763168895 0.661975685708951 1.42137724890607 0.234442306591092 0.98517655064962 1.72565406523788 0.227223882695629 0.471814878531346 1.16731929986477 0.201186465395569 0.607627782227552 1.15301238078475 0.0281943426170506 0.684372011815713 1.17321711263317 0.382483145492051 0.962427543626504 0.99762068821985 0.350035773715126 0.348897401785617 0.946098874007511 0.202130481876659 0.756251945793556 1.5444182456401 0.249746418999957 0.368752437238705 1.35607864489634 0.191393284518677 0.640930616457113 1.47986604698833 0.0873296957954304 0.701870493989994 0.876669087535349 0.00248752119241358 0.818868268267201 0.936352523456944 0.481121551084917 0.557266058567985 1.472530364651 0.0834674557478776 0.615295556585435 1.50336737272186 0.0961166157156551 0.61538321337385 1.33881331756528 0.298399218687153 0.780388256064186 1.64717844758448 0.233623949351888 0.613672541042989 1.38403771890146 0.0729728472935936 1.09288155423263 1.03178373819427 0.397955102220492 0.748655408554501 1.43880173227842 0.0863270733565766 0.454227490025915 1.35837576716144 0.0391914258224707 0.665317425011012
"Singapore" 0.816834757479923 1.01942737858305 0.41151219141992 0.453419443420572 0.520063534660023 0.20606246821957 0.352999338419935 0.94219920979924 0 0.353838478189133 1.16256581948099 0.260926386220189 0.504489948385619 0.802349408885935 0.258895657389014 0.656587044416048 0.968254596480323 0.375049216482706 0.120665981211143 0.843215438937453 0.158215313547633 0.455279238868361 1.20164383429773 0.108555515763998 0.000216785395468804 1.03374639072662 0.228684865319806 0.485141159144851 1.30800697296814 0.280223524090289 0.479178039106826 1.17664151639033 0.0429773408503802 0.783454855438636 1.16942309249487 0.470384331267894 0.225120090065525 1.14338567519481 0.334571427571688 0.210813170985513 0.91400486718219 0.257827197983527 0.231017902833926 1.32468235529129 0.0202283338272635 0.0554214784206099 0.592163436084114 0.593301808013623 0.00389966420827091 1.1443296916759 0.185947264005684 0.602219035840859 1.1919456287992 0.573446772560535 0.413879435097101 1.13359249431792 0.301268593342127 0.537666837189085 0.85486951400381 0.240328715809246 0.065530122263891 0.944686730991654 0.123330941532039 0.00584668634229648 1.42332076088416 0.384933151231256 0.530331154851759 1.02566666554712 0.326903653213805 0.561168162922617 1.0383158255149 0.32681599642539 0.396614107766039 1.24059842848639 0.161810953735054 0.70497923778524 1.17582315915113 0.328526668756251 0.441838509102221 1.01517205709283 0.15068234443339 0.0895845283950315 0.544244107578748 0.193543801244739 0.496602522479175 1.02852628315582 0.487971719773325 0.416176557362204 0.981390635621711 0.276881784788228
"Bangkok" 0.46299627929079 1.37326585677218 0.765350669609053 0.0995809652314386 0.873902012849156 0.559900946408703 0.000839139769197842 1.29603768798837 0.353838478189133 0 1.51640429767012 0.614764864409323 0.150651470196486 1.15618788707507 0.612734135578147 0.302748566226915 1.32209307466946 0.728887694671839 0.23317249697799 1.19705391712659 0.512053791736766 0.101440760679228 1.55548231248686 0.462393993953131 0.353621692793664 1.38758486891575 0.582523343508939 0.131302680955718 1.66184545115727 0.634062002279422 0.125339560917693 1.53047999457947 0.310861137338753 0.429616377249503 1.523261570684 0.824222809457027 0.128718388123608 1.49722415338394 0.688409905760822 0.14302530720362 1.26784334537132 0.61166567617266 0.122820575355207 1.67852083348042 0.33361014436187 0.298416999768523 0.946001914273247 0.947140286202756 0.349938813980862 1.49816816986503 0.539785742194817 0.248380557651726 1.54578410698833 0.927285250749668 0.0600409569079677 1.48743097250705 0.65510707153126 0.183828358999952 1.20870799219294 0.594167193998379 0.419368600453024 1.29852520918079 0.477169419721172 0.35968516453143 1.77715923907329 0.738771629420389 0.176492676662626 1.37950514373625 0.680742131402938 0.207329684733484 1.39215430370403 0.680654474614523 0.0427756295769064 1.59443690667553 0.515649431924187 0.351140759596107 1.52966163734026 0.682365146945384 0.0880000309130879 1.36901053528197 0.203156133755743 0.264253949794102 0.898082585767881 0.547382279433872 0.142764044290042 1.38236476134495 0.841810197962458 0.0623380791730708 1.33522911381084 0.630720262977361
