"x" "y" "depth" "rock_type" "concentration"
"1" 691858.69 2231515.39 37 "shale" 1747
"2" 690510.37 2231964.83 249 "shale" 1711
"3" 691589.02 2232594.04 99 "shale" 2860
"4" 692847.45 2231245.73 139 "shale" 2066
"5" 686015.99 2234571.57 27 "granite" 2218
"6" 686465.43 2231335.62 142 "sandstone" 2996
"7" 685656.44 2231695.17 43 "sandstone" 2183
"8" 690510.37 2232324.38 33 "shale" 1699
"9" 691589.02 2231874.94 52 "shale" 1643
"10" 688982.28 2228459.21 2 "granite" 1794
"11" 692128.35 2232324.38 153 "shale" 2616
"12" 688353.07 2232324.38 80 "shale" 1793
"13" 688982.28 2231695.17 203 "shale" 2289
"14" 689881.16 2234301.91 43 "shale" 1562
"15" 687723.85 2233403.03 26 "granite" 2305
"16" 686555.31 2234751.35 14 "granite" 1889
"17" 686015.99 2234751.35 49 "granite" 2179
"18" 692308.12 2228009.78 17 "sandstone" 3124
"19" 691229.47 2233223.26 55 "granite" 2366
"20" 685207 2233852.47 6 "shale" 1516
"21" 690510.37 2235830 3 "granite" 2092
"22" 688353.07 2234661.46 74 "granite" 2362
"23" 692937.34 2227919.89 90 "granite" 2516
"24" 692757.56 2229268.2 160 "granite" 2565
"25" 687993.52 2235290.67 7 "granite" 1890
"26" 686195.76 2235290.67 249 "granite" 2907
"27" 691139.58 2233313.15 163 "granite" 2867
"28" 689341.83 2229807.53 21 "shale" 1042
"29" 687903.63 2232504.16 26 "granite" 2949
"30" 685926.1 2231245.73 25 "sandstone" 2164
"31" 691139.58 2228549.1 21 "shale" 2212
"32" 685296.89 2235650.22 20 "granite" 2112
"33" 687723.85 2229358.09 24 "granite" 2148
"34" 685836.21 2229717.64 159 "granite" 3345
"35" 688353.07 2234481.69 286 "granite" 2830
"36" 691049.7 2227830 38 "granite" 2464
"37" 687454.19 2228189.55 124 "granite" 1936
"38" 693117.11 2232683.93 42 "shale" 1955
"39" 685207 2234571.57 47 "granite" 2318
"40" 687993.52 2234122.13 138 "granite" 2320
"41" 689251.94 2230436.74 18 "shale" 909
"42" 690150.82 2233762.58 116 "shale" 2096
"43" 690600.26 2228998.54 29 "shale" 1897
"44" 687004.75 2230256.97 4 "granite" 1870
"45" 688892.39 2234032.25 39 "shale" 930
"46" 689971.04 2230526.63 111 "shale" 1945
"47" 693207 2229627.75 53 "granite" 2404
"48" 686015.99 2234661.46 226 "granite" 2824
"49" 690060.93 2229987.3 39 "shale" 1712
"50" 688442.96 2233223.26 28 "shale" 1394
"51" 686555.31 2234841.24 320 "sandstone" 3273
"52" 687364.3 2232863.71 459 "granite" 3706
"53" 686285.65 2235560.34 22 "granite" 2490
"54" 686285.65 2234122.13 19 "sandstone" 2908
"55" 692937.34 2233672.7 121 "shale" 2003
"56" 687364.3 2231785.06 16 "granite" 2828
"57" 686015.99 2230346.85 77 "shale" 2627
"58" 686645.2 2229268.2 71 "sandstone" 2973
"59" 687544.08 2233582.81 108 "granite" 2229
"60" 689341.83 2231065.96 39 "shale" 1216
"61" 692128.35 2232683.93 240 "granite" 3016
"62" 687004.75 2229088.43 92 "sandstone" 3071
"63" 689701.38 2231245.73 316 "shale" 2419
"64" 693117.11 2235110.9 45 "shale" 1221
"65" 685566.55 2229088.43 60 "granite" 2733
"66" 686105.88 2234481.69 65 "granite" 2241
"67" 688532.84 2227830 34 "granite" 1692
"68" 686375.54 2230256.97 90 "granite" 2416
"69" 685926.1 2235560.34 23 "granite" 2070
"70" 689791.27 2232054.72 110 "shale" 1715
"71" 689431.72 2231515.39 75 "granite" 2303
"72" 689701.38 2231425.51 76 "shale" 1782
"73" 690959.81 2234661.46 78 "sandstone" 2604
"74" 688892.39 2231785.06 3 "shale" 1314
"75" 689791.27 2228009.78 33 "shale" 1634
"76" 685656.44 2229537.87 83 "granite" 3024
"77" 688083.4 2232504.16 185 "granite" 2623
"78" 689881.16 2235830 14 "granite" 2706
"79" 688622.73 2231695.17 43 "shale" 1138
"80" 692757.56 2230346.85 35 "granite" 2090
"81" 688532.84 2230167.08 136 "shale" 1197
"82" 691139.58 2229717.64 168 "shale" 2079
"83" 692937.34 2228009.78 230 "granite" 2768
"84" 688353.07 2234122.13 3 "granite" 1606
"85" 692847.45 2228818.76 20 "granite" 2650
"86" 691589.02 2228189.55 20 "granite" 2700
"87" 687454.19 2234122.13 196 "granite" 2828
"88" 687184.53 2233043.48 213 "granite" 2857
"89" 690780.03 2235830 235 "granite" 2804
"90" 689611.49 2228009.78 32 "shale" 1318
"91" 687903.63 2230077.19 170 "granite" 2000
"92" 688802.51 2228099.66 5 "shale" 1542
"93" 688802.51 2235830 284 "sandstone" 3348
"94" 688442.96 2229987.3 87 "shale" 1433
"95" 690420.48 2232324.38 6 "granite" 2317
"96" 685566.55 2229268.2 138 "granite" 3109
"97" 691319.36 2232144.61 6 "shale" 1402
"98" 686195.76 2233762.58 235 "sandstone" 3374
"99" 686465.43 2229627.75 3 "granite" 2165
"100" 690780.03 2234032.25 191 "granite" 2552
"101" 692847.45 2233942.36 38 "granite" 1852
"102" 690510.37 2235290.67 72 "granite" 2558
"103" 686195.76 2232234.49 123 "granite" 1831
"104" 692308.12 2230256.97 4 "shale" 1518
"105" 690690.15 2233313.15 32 "shale" 1689
"106" 688532.84 2233133.37 90 "shale" 1769
"107" 691678.91 2229717.64 172 "shale" 2299
"108" 690150.82 2233313.15 62 "shale" 1874
"109" 690510.37 2230886.18 109 "granite" 2394
"110" 692038.46 2231605.28 21 "shale" 2130
"111" 686015.99 2232683.93 25 "granite" 1493
"112" 691139.58 2232054.72 102 "granite" 2035
"113" 685656.44 2229088.43 4 "granite" 2380
"114" 690060.93 2228998.54 74 "shale" 1675
"115" 690510.37 2228549.1 111 "shale" 1755
"116" 693027.22 2228998.54 222 "granite" 2421
"117" 686015.99 2234481.69 28 "granite" 1966
"118" 692487.9 2233223.26 119 "shale" 2390
"119" 689791.27 2232863.71 111 "shale" 2320
"120" 687723.85 2235110.9 315 "granite" 2845
"121" 686645.2 2230886.18 215 "granite" 2991
"122" 691139.58 2230077.19 138 "shale" 1724
"123" 687004.75 2230886.18 114 "granite" 2893
"124" 687364.3 2232414.27 19 "granite" 2902
"125" 686105.88 2234391.8 11 "granite" 1856
"126" 689431.72 2231155.84 93 "shale" 1974
"127" 687094.64 2235380.56 228 "shale" 2280
"128" 686105.88 2227830 269 "granite" 2722
"129" 686735.09 2235470.45 3 "granite" 2207
"130" 687723.85 2235650.22 17 "shale" 1652
"131" 689971.04 2230346.85 275 "shale" 2498
"132" 687364.3 2228189.55 105 "granite" 2060
"133" 686914.87 2232144.61 31 "granite" 2495
"134" 688712.62 2234751.35 4 "granite" 1735
"135" 688083.4 2232773.82 17 "shale" 1881
"136" 687723.85 2229178.31 65 "sandstone" 3096
"137" 686195.76 2230886.18 138 "granite" 2391
"138" 690420.48 2227830 40 "shale" 2330
"139" 692577.79 2232504.16 121 "shale" 2342
"140" 692128.35 2235200.79 102 "granite" 2211
"141" 688712.62 2233133.37 107 "shale" 1662
"142" 692398.01 2233582.81 88 "granite" 2827
"143" 687094.64 2232594.04 83 "granite" 2938
"144" 691229.47 2229807.53 36 "shale" 1863
"145" 692128.35 2228728.88 248 "granite" 3702
"146" 691139.58 2234391.8 164 "granite" 2515
"147" 687274.42 2229987.3 175 "granite" 2611
"148" 693207 2234661.46 93 "shale" 1763
"149" 691499.13 2231065.96 7 "shale" 1360
"150" 688622.73 2232683.93 50 "shale" 1964
"151" 690060.93 2228908.65 30 "shale" 1707
"152" 686015.99 2232234.49 184 "granite" 2142
"153" 688353.07 2235200.79 286 "granite" 3294
"154" 689791.27 2234212.02 103 "shale" 1815
"155" 688622.73 2229358.09 39 "shale" 1791
"156" 690240.71 2234032.25 45 "shale" 1909
"157" 685656.44 2233672.7 263 "shale" 2211
"158" 686555.31 2232504.16 30 "granite" 2266
"159" 687813.74 2235650.22 1 "granite" 1887
"160" 687544.08 2231335.62 113 "shale" 2693
"161" 693207 2228549.1 192 "granite" 2775
"162" 687993.52 2228099.66 28 "granite" 1417
"163" 690240.71 2235560.34 81 "granite" 2764
"164" 688263.18 2230706.4 64 "shale" 1058
"165" 691589.02 2234571.57 39 "granite" 2017
"166" 689341.83 2235650.22 158 "granite" 2589
"167" 689162.06 2228189.55 55 "shale" 1701
"168" 688622.73 2229627.75 118 "shale" 1789
"169" 687184.53 2232953.6 134 "sandstone" 3467
"170" 691139.58 2229987.3 96 "shale" 1526
"171" 691858.69 2233492.92 209 "granite" 3557
"172" 689431.72 2230436.74 146 "shale" 1850
"173" 685926.1 2235470.45 6 "granite" 2195
"174" 686645.2 2234481.69 220 "sandstone" 3393
"175" 691319.36 2235110.9 77 "sandstone" 2835
"176" 691229.47 2230706.4 13 "shale" 1230
"177" 692218.24 2230616.52 25 "shale" 1452
"178" 687813.74 2235021.01 81 "granite" 2069
"179" 688802.51 2233313.15 14 "shale" 1293
"180" 689072.17 2229268.2 6 "shale" 991
"181" 691229.47 2234301.91 166 "granite" 2467
"182" 691499.13 2231335.62 112 "shale" 1380
"183" 693027.22 2235740.11 92 "shale" 1447
"184" 686465.43 2234212.02 96 "sandstone" 3090
"185" 692218.24 2231695.17 29 "shale" 1875
"186" 687454.19 2230167.08 82 "granite" 2242
"187" 687454.19 2228009.78 25 "granite" 1611
"188" 685207 2233133.37 320 "shale" 2570
"189" 692757.56 2229537.87 49 "granite" 2214
"190" 686195.76 2231605.28 343 "sandstone" 3246
"191" 692487.9 2235110.9 202 "granite" 2013
"192" 692937.34 2233582.81 107 "shale" 2168
"193" 686914.87 2228279.44 222 "granite" 3024
"194" 686555.31 2229178.31 2 "sandstone" 3042
"195" 685926.1 2233852.47 89 "granite" 2605
"196" 690150.82 2231155.84 169 "granite" 1960
"197" 691768.8 2228638.99 1 "granite" 2493
"198" 690060.93 2235560.34 140 "granite" 3327
"199" 688892.39 2232863.71 116 "shale" 2066
"200" 687723.85 2234391.8 54 "granite" 2076
