"stress" "happiness" "meditation" "exercise"
45 30.4 TRUE FALSE
44.4 25.1 FALSE FALSE
59.3 51.2 FALSE TRUE
41.7 62.9 TRUE TRUE
9.6 4.9 FALSE FALSE
20.5 19.4 TRUE FALSE
23.1 43.4 TRUE FALSE
39.1 49.1 TRUE TRUE
41.5 37.2 FALSE TRUE
63.6 59.4 FALSE FALSE
19.5 50 TRUE FALSE
50.1 57.7 TRUE FALSE
66.5 100 TRUE TRUE
58.7 30.5 FALSE TRUE
31.9 47.7 FALSE FALSE
41.1 41 TRUE FALSE
84.8 37.2 FALSE FALSE
64.5 60.7 FALSE FALSE
77.7 89.9 FALSE TRUE
68.2 62.3 TRUE FALSE
60.4 48.3 FALSE TRUE
33.8 46.5 TRUE TRUE
67.7 76.5 FALSE FALSE
41 60.2 FALSE FALSE
43.1 41.9 TRUE TRUE
20.9 46.5 TRUE FALSE
4.9 36.1 TRUE FALSE
84.7 71.9 FALSE FALSE
61.6 21.9 FALSE FALSE
17.9 46.7 FALSE FALSE
35.8 26.9 FALSE FALSE
33.2 62.6 FALSE TRUE
34.7 51.2 FALSE TRUE
59.6 62 TRUE TRUE
49.6 45.8 FALSE TRUE
21.9 52.3 FALSE TRUE
49.7 67 TRUE TRUE
38.6 38.4 TRUE FALSE
20.5 12.3 TRUE FALSE
68.5 75.3 FALSE TRUE
68.8 36.3 TRUE FALSE
37.9 0 FALSE FALSE
49.7 22.7 FALSE FALSE
16.5 16.7 TRUE FALSE
35.6 35.5 TRUE FALSE
41 44.9 FALSE FALSE
66.2 69.6 FALSE TRUE
61.2 66.4 FALSE TRUE
43 23.1 FALSE TRUE
24.3 15.3 TRUE FALSE
53.6 17.8 TRUE FALSE
50.6 37.7 FALSE TRUE
100 79.9 FALSE TRUE
40.6 60.5 FALSE TRUE
52.6 89.5 TRUE TRUE
40.3 68.1 TRUE TRUE
54.2 70.3 FALSE FALSE
78 50 FALSE FALSE
33.5 32.2 FALSE FALSE
55 46.5 FALSE TRUE
40.6 63.7 TRUE TRUE
22.6 43.1 TRUE TRUE
54.5 65.9 TRUE FALSE
83.3 34.9 FALSE FALSE
