"x" "y" "elevation" "orientation" "temperature"
"1" 5144628.73 426687.31 2.229 "S" -0.9
"2" 5139476.19 426144.93 2.061 "EW" -6.6
"3" 5139611.78 432246.63 2.698 "EW" -7.9
"4" 5142052.46 431975.44 2.13 "EW" -6.2
"5" 5144493.14 429399.17 2.693 "N" -16.4
"6" 5145984.66 429670.36 2.077 "S" -1.5
"7" 5143950.76 430077.14 3.037 "N" -18.3
"8" 5144221.95 425466.97 2.069 "S" -1.1
"9" 5145035.51 428585.61 2.008 "S" -0.5
"10" 5143815.17 428178.83 2.218 "EW" -7
"11" 5146527.03 427500.86 2.084 "EW" -6.6
"12" 5146255.85 432517.81 2.955 "EW" -9.8
"13" 5146255.85 431026.29 2.196 "EW" -7.2
"14" 5144493.14 431026.29 2.146 "EW" -7.3
"15" 5141916.86 425466.97 2.006 "N" -12.5
"16" 5142594.83 430077.14 2.061 "EW" -6.4
"17" 5143543.98 425331.37 2.354 "S" -1
"18" 5146933.81 431433.07 3.367 "S" -2.5
"19" 5146527.03 430212.73 2.435 "S" -1.9
"20" 5140832.12 431839.85 2.141 "N" -12.4
"21" 5146391.44 425331.37 2.04 "N" -12.1
"22" 5143272.8 430077.14 2.083 "N" -13
"23" 5143408.39 425602.56 2.453 "N" -15.3
"24" 5143543.98 431704.25 2.366 "EW" -6.7
"25" 5144764.32 431161.88 2.613 "N" -16.3
"26" 5145035.51 431839.85 2.528 "S" -0.6
"27" 5146798.22 428178.83 2.619 "N" -16.6
"28" 5140832.12 424789 2.663 "N" -15.9
"29" 5143679.58 432382.22 2.108 "EW" -6.4
"30" 5141374.49 428856.8 2.581 "EW" -8.5
"31" 5142052.46 431839.85 2.747 "S" -1.3
"32" 5144899.92 425060.19 2.686 "EW" -9.9
"33" 5143815.17 427500.86 2.036 "EW" -5.6
"34" 5140832.12 430890.69 2.158 "EW" -5.4
"35" 5140967.71 426958.49 2.36 "S" -0.7
"36" 5139747.37 429670.36 2.127 "S" 0.5
"37" 5141103.31 432111.03 2.678 "N" -16
"38" 5147205 431161.88 2.426 "N" -14.7
"39" 5143950.76 430212.73 2.417 "EW" -7.7
"40" 5139747.37 430619.51 2.228 "N" -13
"41" 5142323.64 432789 2.37 "N" -14.4
"42" 5147069.41 425738.15 2.149 "S" -0.8
"43" 5146933.81 428721.2 2.926 "S" -2.6
"44" 5144764.32 427772.05 2.244 "N" -14
"45" 5143272.8 426958.49 3.867 "S" -4.6
"46" 5145306.69 430212.73 2.148 "EW" -7.4
"47" 5144628.73 431161.88 2.211 "EW" -7.1
"48" 5140289.75 432382.22 2.48 "N" -14.7
"49" 5141374.49 428585.61 2.06 "N" -12.7
"50" 5145984.66 425873.75 2.79 "S" -2.4
"51" 5141374.49 429399.17 2.361 "S" -0.3
"52" 5146391.44 428314.42 2.759 "N" -17.3
"53" 5140560.93 429805.95 3.201 "N" -19.1
"54" 5146527.03 425060.19 4.193 "S" -4
"55" 5142594.83 427094.08 2.764 "EW" -9.8
"56" 5140018.56 424789 2.65 "EW" -8.8
"57" 5146120.25 425060.19 2.044 "S" 0.2
"58" 5141238.9 432111.03 2.076 "S" -0.3
"59" 5140425.34 426144.93 2.458 "S" -1.2
"60" 5140560.93 426551.71 2.117 "N" -13.4
