"x" "y" "price" "cloudy" "rainy" "sales"
"1" 512060.31 5033678.28 10.5 FALSE FALSE 3.5
"2" 511970.43 5032419.85 9 TRUE FALSE 4.6
"3" 515925.48 5033408.62 11 TRUE FALSE 4.5
"4" 510891.78 5035116.48 10.9 TRUE FALSE 3.8
"5" 511610.88 5030711.99 8.5 TRUE FALSE 4.4
"6" 511700.76 5034487.27 12.2 TRUE TRUE 7.7
"7" 518442.34 5032509.74 11.7 TRUE FALSE 4.6
"8" 516374.92 5034846.82 6.3 FALSE FALSE 3.4
"9" 518532.22 5036554.69 7.2 TRUE FALSE 4.2
"10" 514037.84 5034667.04 10.3 TRUE FALSE 2.8
"11" 515565.93 5031251.31 7.3 FALSE FALSE 2
"12" 517094.02 5035835.58 3 TRUE FALSE 3.2
"13" 515655.82 5034577.16 10.9 TRUE FALSE 5.7
"14" 511431.1 5031790.64 9.7 TRUE FALSE 5.4
"15" 510712 5031700.75 9.1 FALSE FALSE 3.5
"16" 515925.48 5037633.34 4 TRUE FALSE 5.8
"17" 515745.71 5035116.48 10.8 FALSE FALSE 4.1
"18" 514307.51 5030891.76 9.4 TRUE TRUE 7.4
"19" 516824.36 5037453.56 8.4 TRUE TRUE 9
"20" 511161.44 5036644.57 9.4 TRUE FALSE 5.2
"21" 513768.18 5030172.66 8.1 TRUE TRUE 7.8
"22" 518262.56 5031610.87 9.6 FALSE FALSE 4.3
"23" 517723.24 5035925.47 8.9 TRUE FALSE 4.6
"24" 511431.1 5030352.44 4.7 FALSE FALSE 1.9
"25" 510981.66 5035296.26 8.1 TRUE TRUE 6.4
"26" 515296.27 5035655.81 9.7 TRUE TRUE 7.5
"27" 517543.46 5032240.08 13.4 FALSE FALSE 4.5
"28" 514037.84 5033318.73 8.3 TRUE TRUE 5.8
"29" 513228.85 5032959.18 7.4 TRUE FALSE 2.1
"30" 513947.96 5036105.25 9 TRUE FALSE 5
"31" 513947.96 5036644.57 7.9 FALSE FALSE 4.2
"32" 513768.18 5035116.48 9.7 TRUE FALSE 4
"33" 517633.35 5029903 7 TRUE TRUE 6.4
"34" 517813.12 5036195.13 7.7 TRUE FALSE 3.8
"35" 511071.55 5034307.49 2.8 TRUE TRUE 6.2
"36" 517183.91 5031251.31 6.9 TRUE FALSE 4.3
"37" 511251.33 5031251.31 9 TRUE FALSE 5.3
"38" 518532.22 5032329.97 10.1 TRUE FALSE 3.9
"39" 511161.44 5031341.2 8.8 TRUE FALSE 5.7
"40" 517004.13 5029992.89 7.7 FALSE FALSE 2.7
"41" 516015.37 5032959.18 9.7 TRUE FALSE 4.7
"42" 514936.72 5030891.76 6.1 TRUE FALSE 3.9
"43" 515925.48 5029992.89 12.2 TRUE FALSE 2.5
"44" 511431.1 5037183.9 8.3 TRUE FALSE 4.8
"45" 515386.16 5031071.54 8.8 TRUE FALSE 3.7
"46" 511610.88 5033947.94 9.7 TRUE FALSE 4.7
"47" 517813.12 5034397.38 11.8 TRUE FALSE 4.5
"48" 516914.25 5033588.39 7.6 TRUE TRUE 8.3
"49" 515655.82 5036285.02 9.5 TRUE TRUE 5.7
"50" 517363.69 5031610.87 9.1 FALSE FALSE 3.9
"51" 516554.7 5034846.82 5.8 TRUE FALSE 5.1
"52" 512329.98 5031970.42 10.4 FALSE FALSE 3.7
"53" 516644.58 5030891.76 8.6 TRUE FALSE 3.9
"54" 518172.67 5035565.92 11.3 TRUE FALSE 5.3
"55" 512419.87 5036824.35 6.5 TRUE TRUE 5.4
"56" 514846.83 5036285.02 7.8 TRUE FALSE 4.2
"57" 512689.53 5037813.11 8 TRUE FALSE 4.2
"58" 514397.39 5030981.65 9.5 TRUE TRUE 7.7
"59" 513138.97 5031071.54 13.6 TRUE TRUE 8.1
"60" 517453.57 5029992.89 13.5 TRUE TRUE 6.9
"61" 515565.93 5030082.78 3.8 FALSE FALSE 1.5
"62" 518262.56 5035296.26 11.3 TRUE FALSE 5
"63" 515745.71 5036285.02 9.3 TRUE TRUE 6.1
"64" 514577.17 5030082.78 8 TRUE FALSE 4.3
"65" 512240.09 5034487.27 5.7 TRUE FALSE 4.9
"66" 515026.61 5032959.18 7.2 TRUE FALSE 3.9
"67" 514307.51 5036464.8 11.6 TRUE FALSE 5
"68" 516195.15 5032150.19 8.4 FALSE FALSE 1.8
"69" 516105.26 5037453.56 8.4 TRUE FALSE 5.6
"70" 515026.61 5033408.62 8.7 TRUE FALSE 3.5
"71" 514397.39 5030262.55 7.6 TRUE TRUE 6.7
"72" 511431.1 5036105.25 11.4 FALSE FALSE 2.1
"73" 513768.18 5037903 6.1 TRUE FALSE 2.9
"74" 513498.52 5036285.02 6.4 TRUE TRUE 7.4
"75" 512689.53 5033678.28 7.6 TRUE FALSE 2.6
"76" 517723.24 5033318.73 8.4 FALSE FALSE 3.6
"77" 518532.22 5034217.61 8.1 FALSE FALSE 2.8
"78" 512240.09 5037363.67 9.4 TRUE FALSE 4.7
"79" 515925.48 5034397.38 8.1 TRUE FALSE 5.8
