"motivation" "relaxation" "classical" "upbeat"
38.2 30.8 FALSE FALSE
26.2 86.5 TRUE FALSE
66.5 52.3 FALSE TRUE
61.5 35.9 TRUE TRUE
77.4 54 FALSE TRUE
66.4 54.9 FALSE TRUE
5.6 32.1 TRUE FALSE
56 60.9 TRUE TRUE
54.7 24.9 FALSE TRUE
73 56.8 TRUE TRUE
32.9 52.6 TRUE FALSE
45.6 28 TRUE FALSE
48.2 58 TRUE FALSE
73.3 34.5 TRUE TRUE
65.9 35.2 TRUE FALSE
39 53.9 TRUE FALSE
27.2 55.9 FALSE FALSE
52.7 44.5 TRUE TRUE
28.8 24.2 FALSE FALSE
98.2 47.1 FALSE TRUE
63.3 48.6 TRUE FALSE
14.4 56.2 TRUE FALSE
33.2 28.8 FALSE FALSE
24.8 39.2 FALSE FALSE
23.7 20.4 TRUE FALSE
71.2 37.6 FALSE TRUE
50.6 57 FALSE FALSE
49.6 33.9 TRUE TRUE
57.3 40.3 FALSE TRUE
19.4 28.6 FALSE FALSE
45.8 57.1 FALSE FALSE
30.3 55 FALSE FALSE
56.5 37.7 TRUE TRUE
64.8 19.3 FALSE TRUE
44.1 63.7 TRUE FALSE
29.9 51.3 FALSE FALSE
49.4 62.2 FALSE FALSE
6.4 30.5 FALSE FALSE
64 30.5 FALSE TRUE
41.4 31.7 FALSE FALSE
63.6 61 TRUE TRUE
34.6 11.2 FALSE TRUE
23.7 23.6 FALSE FALSE
73.6 51.9 FALSE TRUE
14.8 44.2 TRUE FALSE
47 48.9 TRUE TRUE
24.9 83.8 TRUE FALSE
37.7 39.2 TRUE FALSE
73.3 56.9 TRUE TRUE
51 61.4 TRUE FALSE
61.7 8.4 FALSE TRUE
47.6 16.5 TRUE TRUE
47.2 54.7 FALSE FALSE
56 76.7 TRUE FALSE
97.6 50.1 FALSE TRUE
34.2 73.2 TRUE FALSE
52.2 45.5 FALSE FALSE
70.2 29.6 FALSE TRUE
22.4 43.6 TRUE FALSE
51.7 31 TRUE TRUE
49 69.8 TRUE FALSE
92.6 41.1 FALSE TRUE
12.5 28.7 FALSE FALSE
90.6 43.8 FALSE TRUE
25.5 15.2 FALSE FALSE
39.2 58.9 FALSE FALSE
79.7 57.6 TRUE TRUE
70.6 69.8 FALSE TRUE
55.7 60.2 FALSE FALSE
49.9 44.2 TRUE TRUE
45.6 34.2 FALSE TRUE
70.6 32.5 FALSE TRUE
87.4 74.1 FALSE TRUE
69.1 50.9 TRUE TRUE
50 55.6 TRUE FALSE
42.1 38.7 FALSE FALSE
14.5 34.2 FALSE FALSE
7.6 35.5 TRUE FALSE
8 35.9 TRUE FALSE
33.6 48.5 FALSE FALSE
73.6 51.2 TRUE TRUE
27.5 27 TRUE TRUE
60.4 49.8 TRUE TRUE
49.2 39.5 TRUE FALSE
53.7 33.6 FALSE FALSE
82.1 24 FALSE TRUE
32.7 20 FALSE TRUE
47.2 37.1 FALSE FALSE
84.8 74.6 TRUE TRUE
19.4 57.7 FALSE FALSE
50.2 41.2 TRUE TRUE
6 35.2 TRUE FALSE
20.5 51 FALSE FALSE
74.6 22.2 FALSE TRUE
55.6 28.6 TRUE FALSE
39.4 53.6 FALSE FALSE
44.2 35.1 TRUE FALSE
19 26.2 FALSE FALSE
16.8 25.2 FALSE FALSE
23.8 7.2 FALSE FALSE
30.2 65.9 TRUE FALSE
31.8 36.7 TRUE TRUE
96.4 51.7 TRUE TRUE
51.6 61.4 TRUE FALSE
66.2 41.1 TRUE TRUE
38.8 44.6 TRUE FALSE
52.4 27.6 FALSE TRUE
27.4 43.5 TRUE TRUE
26.8 34.1 TRUE FALSE
34.1 48.9 TRUE FALSE
64.5 51.5 FALSE TRUE
78.8 73.4 TRUE TRUE
68.2 52.6 FALSE TRUE
72.8 11 FALSE TRUE
62.9 39.8 FALSE TRUE
64.6 53.2 FALSE TRUE
75.8 28.2 FALSE TRUE
64.8 53.6 TRUE TRUE
84.1 57.4 TRUE TRUE
31.4 36.3 TRUE FALSE
49.6 57.6 TRUE TRUE
66.7 48.4 TRUE TRUE
29.7 28.2 FALSE FALSE
18.5 15 FALSE FALSE
22.9 59.6 FALSE FALSE
48.2 42.2 TRUE TRUE
32 41.3 TRUE FALSE
0 28.8 TRUE FALSE
83.9 19.4 FALSE TRUE
43.9 43.4 FALSE FALSE
49.2 48.3 FALSE FALSE
47.7 53.1 FALSE TRUE
73.1 60.1 TRUE TRUE
54 40.3 TRUE TRUE
83.9 82.8 TRUE TRUE
81.1 62.5 FALSE TRUE
64.4 60.8 TRUE FALSE
13 21.8 FALSE FALSE
83.9 45.3 FALSE TRUE
77.1 87.3 TRUE TRUE
33.7 40 TRUE FALSE
100 58 TRUE TRUE
46.2 62.9 TRUE FALSE
64.6 65 TRUE FALSE
61.3 32.4 TRUE TRUE
62.9 21.8 FALSE TRUE
57.1 33 FALSE TRUE
36.8 43.1 TRUE FALSE
72.6 26.3 FALSE TRUE
59.5 54.1 TRUE TRUE
12.1 23.7 FALSE FALSE
63.9 100 TRUE TRUE
94.3 84.9 TRUE TRUE
44.1 22.7 TRUE TRUE
61.2 41.2 TRUE TRUE
9.8 50.9 TRUE FALSE
78.1 60.1 FALSE TRUE
21.5 43.3 FALSE FALSE
53.7 41.1 FALSE TRUE
34.7 42.3 FALSE FALSE
56.5 37.5 FALSE TRUE
69.1 51.5 TRUE TRUE
21.4 39.6 TRUE FALSE
54.2 18.4 FALSE TRUE
31.2 46.3 TRUE FALSE
32 37 FALSE FALSE
78.1 76 TRUE TRUE
43.2 53.3 TRUE FALSE
52 47.8 FALSE FALSE
68.3 36.4 TRUE TRUE
47.2 32.6 TRUE TRUE
37.5 47.5 FALSE FALSE
27.2 48.5 FALSE FALSE
59.6 30.9 FALSE TRUE
32.5 34.9 FALSE TRUE
75.4 52.3 TRUE TRUE
