"chlorophyll" "growth" "auto_watering" "air_purifier"
26.31 3.62 TRUE TRUE
20.13 3 TRUE FALSE
21.22 0.9 TRUE FALSE
18.28 1.71 TRUE FALSE
28.09 2.64 TRUE TRUE
24.57 3.44 FALSE FALSE
20.73 4.32 FALSE FALSE
23.3 1.86 FALSE TRUE
14.69 1.73 FALSE FALSE
26.06 -0.1 TRUE TRUE
29.62 4.7 TRUE TRUE
23.22 2.27 FALSE TRUE
24.99 2.22 FALSE TRUE
18.72 -0.19 FALSE FALSE
23.95 3.25 FALSE TRUE
23.4 3.06 TRUE FALSE
24.48 -0.55 TRUE TRUE
19.39 0.09 FALSE FALSE
25.86 4.07 TRUE TRUE
21 2.94 TRUE FALSE
24.86 1.68 FALSE TRUE
20.01 1.25 TRUE FALSE
20.07 3.02 FALSE FALSE
22.43 1.13 FALSE FALSE
26.55 3.27 TRUE TRUE
26.96 1.36 TRUE TRUE
28.71 3.67 TRUE TRUE
16.44 0.6 FALSE FALSE
25.9 0.14 FALSE TRUE
21.24 0.99 FALSE TRUE
23.57 -2.08 FALSE TRUE
25.85 1.14 TRUE TRUE
15.17 1.72 FALSE FALSE
24.04 -1.37 FALSE FALSE
20.03 2.35 TRUE FALSE
15.12 1.68 FALSE FALSE
24.46 1.75 TRUE TRUE
22.59 0.5 FALSE TRUE
26.17 1.18 TRUE TRUE
24.07 3.58 FALSE TRUE
23.46 1.9 FALSE TRUE
26.4 4.69 TRUE FALSE
23.39 1.59 TRUE TRUE
17.68 2.27 TRUE FALSE
19.22 1.36 TRUE FALSE
22.14 2.96 TRUE FALSE
27.47 0.67 TRUE TRUE
20.16 2.14 TRUE FALSE
21.01 0.36 FALSE FALSE
17.22 1.82 FALSE FALSE
26 -0.91 TRUE TRUE
20.41 3.96 FALSE FALSE
25.88 3.2 TRUE TRUE
23.95 0.79 FALSE TRUE
23.23 4.66 TRUE FALSE
23.63 1.33 FALSE TRUE
19.49 2.77 FALSE FALSE
20.04 2.7 TRUE FALSE
24.95 2.19 TRUE TRUE
16.95 2.13 TRUE FALSE
25.03 3 FALSE TRUE
20.76 1.16 TRUE FALSE
16.47 1.42 FALSE FALSE
21.41 2.6 FALSE FALSE
21.25 3.07 FALSE TRUE
27.99 3.31 TRUE TRUE
