"model" "price" "condition"
"SwiftRider" 98.4443156419338 7.76
"AeroCycle" 1603.33976783252 7.87
"UrbanCruiser" 161.674327343297 11.65
"MountainMarauder" 253.413911023513 9.83
"TrailBlazer" 125.225090779824 7.56
"CitySprint" 141.524963921477 7.26
"EcoPedal" 34.6039676147544 6.86
"AdventureSeeker" 79.5084629252608 11.72
"RoadWarrior" 134.179779684936 7.93
"BeachBreeze" 644.613726965062 5.99
"StreetGlider" 73.8904889403454 6.82
"RetroRider" 106.61608215666 8.95
"SpeedDemon" 41.9991081640293 7.13
"CrossTerrain" 166.01035487373 6.14
"PedalPower" 97.8544301619463 7.51
"GravityGlider" 82.9562853583438 3.06
"FreeWheel" 139.129512339961 9.05
"StealthRider" 43.178425978763 10.39
"FusionCycles" 42.9143941086108 9.77
"CycloQuest" 177.012810993364 7.37
