"distance" "altitude"
"1" 0 1183
"2" 0.2 1203
"3" 0.4 1267
"4" 0.6 1232
"5" 0.8 1244
"6" 1 1301
"7" 1.2 1276
"8" 1.4 1236
"9" 1.6 1265
"10" 1.8 1285
"11" 2 1347
"12" 2.2 1333
"13" 2.4 1346
"14" 2.6 1349
"15" 2.8 1341
"16" 3 1424
"17" 3.2 1391
"18" 3.4 1323
"19" 3.6 1409
"20" 3.8 1380
"21" 4 1368
"22" 4.2 1395
"23" 4.4 1373
"24" 4.6 1384
"25" 4.8 1389
"26" 5 1359
"27" 5.2 1435
"28" 5.4 1415
"29" 5.6 1376
"30" 5.8 1448
"31" 6 1423
"32" 6.2 1405
"33" 6.4 1445
"34" 6.6 1448
"35" 6.8 1451
"36" 7 1451
"37" 7.2 1459
"38" 7.4 1452
"39" 7.6 1457
"40" 7.8 1467
"41" 8 1469
"42" 8.2 1492
"43" 8.4 1468
"44" 8.6 1579
"45" 8.8 1558
"46" 9 1496
"47" 9.2 1524
"48" 9.4 1528
"49" 9.6 1571
"50" 9.8 1551
"51" 10 1568
"52" 10.2 1573
"53" 10.4 1587
"54" 10.6 1643
"55" 10.8 1609
"56" 11 1675
"57" 11.2 1594
"58" 11.4 1668
"59" 11.6 1664
"60" 11.8 1676
"61" 12 1691
"62" 12.2 1681
"63" 12.4 1702
"64" 12.6 1697
"65" 12.8 1712
"66" 13 1769
"67" 13.2 1787
"68" 13.4 1790
"69" 13.6 1830
"70" 13.8 1878
"71" 14 1815
"72" 14.2 1779
"73" 14.4 1896
"74" 14.6 1863
"75" 14.8 1881
"76" 15 1951
"77" 15.2 1927
"78" 15.4 1915
"79" 15.6 1973
"80" 15.8 1980
"81" 16 2000
"82" 16.2 2034
"83" 16.4 2033
"84" 16.6 2085
"85" 16.8 2081
"86" 17 2120
"87" 17.2 2163
"88" 17.4 2163
"89" 17.6 2160
"90" 17.8 2224
"91" 18 2240
"92" 18.2 2250
"93" 18.4 2265
"94" 18.6 2263
"95" 18.8 2347
"96" 19 2312
"97" 19.2 2410
"98" 19.4 2404
"99" 19.6 2365
"100" 19.8 2355
"101" 20 2379
