"score" "purch_amount" "memb_duration" "age" "store"
5.23 304.07 24 55 "Store M"
4.98 288.4 26 58 "Store I"
3.7 236.41 26 43 "Store T"
4.28 204.17 28 21 "Store J"
4.88 194.56 23 27 "Store N"
5.22 271.3 29 24 "Store A"
3.4 132.01 13 42 "Store I"
2.87 104.98 12 39 "Store S"
4.59 256.93 23 53 "Store D"
4.54 139.93 16 21 "Store A"
4.42 244.58 20 36 "Store M"
4.07 218.7 20 33 "Store T"
3.47 138.71 17 34 "Store E"
6.59 332.54 32 32 "Store D"
6.02 322.57 32 22 "Store R"
5.33 276.31 26 27 "Store F"
4.43 215.46 19 17 "Store E"
3.62 207.03 22 33 "Store R"
4.33 195.24 22 31 "Store T"
4.3 189.32 24 44 "Store H"
4.07 238.62 19 45 "Store B"
2.88 181.76 20 38 "Store C"
3.9 166.43 17 41 "Store K"
6.11 370.02 37 46 "Store N"
2.59 83.7 1 28 "Store F"
2.49 38.53 8 36 "Store I"
4.39 149.88 14 33 "Store A"
4.83 212.67 17 31 "Store Q"
4.93 242.03 17 11 "Store F"
6.27 362.75 34 39 "Store H"
3.63 174.73 17 42 "Store G"
4.14 265.65 24 51 "Store R"
5.3 260.03 36 29 "Store L"
4.62 155.14 18 37 "Store I"
2.21 135.72 14 44 "Store P"
0.56 -26.8 4 29 "Store B"
5.64 256.73 29 41 "Store J"
3.7 220.64 25 33 "Store C"
1.22 73.72 5 25 "Store G"
2.78 173.68 21 45 "Store L"
3.87 234.55 22 37 "Store R"
4.81 174.82 23 39 "Store F"
3.17 170.03 14 31 "Store A"
4.79 260.95 24 41 "Store Q"
4.85 221.21 25 33 "Store E"
3.93 188.52 9 7 "Store A"
6.08 370.62 26 27 "Store K"
3.97 135.53 8 55 "Store E"
2.73 115.72 11 39 "Store J"
3.14 160.22 17 39 "Store N"
5.92 323.72 31 36 "Store P"
3.65 180.89 20 54 "Store B"
4.89 271.84 24 42 "Store L"
5.26 270.68 25 21 "Store O"
5.21 295.93 26 46 "Store M"
3.98 205.56 15 41 "Store E"
4.13 190.38 17 14 "Store B"
5.61 234.19 32 21 "Store T"
5.82 294.36 27 48 "Store K"
2.41 113.42 15 42 "Store D"
4.42 210.27 19 30 "Store D"
2.57 124.32 15 47 "Store S"
2.79 132.13 21 46 "Store A"
1.81 126.23 14 19 "Store M"
3.72 220.07 18 30 "Store H"
3.71 197.64 21 14 "Store K"
5.62 294.46 31 41 "Store O"
3.14 163.68 20 37 "Store M"
3.54 271.14 21 35 "Store L"
5.01 274.5 25 23 "Store T"
4.5 226.93 22 33 "Store N"
3.01 181.53 16 42 "Store A"
5.13 271.66 27 38 "Store K"
6.5 285.42 30 47 "Store J"
5.61 265.66 23 16 "Store B"
2.14 124.98 13 31 "Store S"
5.88 274.25 23 46 "Store F"
3.57 184.26 20 35 "Store O"
5.02 292.81 27 61 "Store B"
1.45 69.14 9 34 "Store C"
4.23 204.6 26 43 "Store O"
6.05 283.91 20 38 "Store N"
2.4 105.43 3 21 "Store B"
3.59 226.44 22 49 "Store S"
5.1 234.69 17 44 "Store B"
5.53 328.74 33 46 "Store L"
4.44 203.31 16 32 "Store K"
3.78 240.14 33 34 "Store P"
6.4 337 33 37 "Store C"
5.16 223.37 36 32 "Store Q"
3.33 178.39 23 31 "Store M"
3.94 215.89 23 28 "Store E"
4.43 238.84 27 41 "Store I"
1.58 80.94 6 34 "Store K"
3.94 249.91 18 29 "Store A"
3.13 162.7 16 42 "Store B"
4.74 267.34 23 29 "Store G"
4.14 237.12 28 26 "Store E"
4.15 261.84 23 43 "Store A"
3.3 154.57 23 26 "Store T"
4.75 215.16 29 40 "Store T"
6.23 318.37 27 41 "Store B"
1.94 134.7 17 35 "Store R"
3.66 203.76 22 46 "Store K"
3.31 118.54 7 21 "Store J"
3.47 214.97 25 37 "Store M"
0.32 -12.97 6 39 "Store O"
3.47 109.65 4 22 "Store E"
2.18 48.28 7 8 "Store L"
5.35 334.06 36 34 "Store Q"
4.79 293.5 31 55 "Store D"
2.64 142.41 21 55 "Store R"
5.22 251.76 34 38 "Store P"
3.89 264.75 29 25 "Store R"
3.82 227.02 24 19 "Store M"
2.18 102.84 8 51 "Store S"
3.72 176.31 19 35 "Store S"
3.37 191.06 21 20 "Store P"
3.95 181.59 26 39 "Store P"
3.71 170.67 21 37 "Store E"
3.75 210.35 13 15 "Store O"
4.62 253.27 24 38 "Store D"
4.29 222.69 28 33 "Store A"
6.07 249.69 24 31 "Store B"
3.75 217.47 19 43 "Store N"
5.74 238.37 25 39 "Store P"
2.69 153.28 16 25 "Store T"
3.43 153.86 18 40 "Store A"
4.63 303.65 30 25 "Store Q"
2.89 79.49 0 44 "Store D"
2.27 115.48 17 36 "Store H"
4.3 185.38 27 37 "Store A"
4.01 159.85 18 37 "Store G"
4.43 257.64 30 41 "Store G"
6.12 329.37 29 43 "Store Q"
6.15 331.27 26 21 "Store M"
5.83 213.18 30 38 "Store T"
4.65 233.88 18 42 "Store D"
3.99 190.7 20 38 "Store L"
4.95 283.37 29 26 "Store L"
4.69 246.88 25 23 "Store B"
5.55 305.06 28 49 "Store B"
4.76 281.66 26 29 "Store R"
4 249.29 27 33 "Store R"
1.86 -24.24 6 39 "Store E"
5.86 366.48 43 24 "Store G"
6.1 277.07 22 33 "Store T"
5.25 276.33 21 33 "Store K"
3.77 246.58 24 41 "Store G"
5.28 283.6 26 52 "Store C"
3.89 163.22 13 21 "Store I"
6.73 378.97 45 38 "Store G"
5.71 241.27 16 44 "Store Q"
4.61 220.3 13 35 "Store G"
1.82 112.6 10 43 "Store H"
3.76 244.64 23 47 "Store P"
2.7 116.63 7 31 "Store R"
2.67 53.57 18 27 "Store Q"
6.42 327.12 33 54 "Store A"
3.7 179.12 11 15 "Store A"
5.72 293.78 37 35 "Store P"
2.99 96.74 12 38 "Store J"
4.02 188.4 23 27 "Store O"
5.06 254.76 26 22 "Store A"
4.98 298.84 26 31 "Store L"
4.17 193.37 8 44 "Store N"
3.12 144.15 10 19 "Store M"
3.37 217.28 25 35 "Store H"
6.31 386.1 43 35 "Store E"
6.29 366.3 36 39 "Store L"
5.11 283.35 37 29 "Store R"
3.34 220.37 22 17 "Store L"
5.91 272.32 27 39 "Store F"
5.76 322.44 31 21 "Store E"
4.28 209.3 23 31 "Store O"
2.7 82.24 9 32 "Store T"
3.31 91.25 8 37 "Store D"
3.23 131.77 10 30 "Store P"
4.03 227.71 26 54 "Store R"
2.72 168.06 15 42 "Store L"
4.64 274.57 18 30 "Store D"
2.53 83.47 6 30 "Store K"
1.71 56.86 2 29 "Store B"
5.18 310.74 29 25 "Store M"
3.26 135.17 13 19 "Store E"
3.09 171.94 17 23 "Store K"
4.13 230.85 16 29 "Store D"
5.25 237.5 30 36 "Store T"
5.93 307.57 24 34 "Store I"
4.83 237.63 24 49 "Store R"
2.53 116.85 9 9 "Store N"
5.14 283.98 29 28 "Store E"
4.4 185.37 12 19 "Store E"
4.08 261.73 23 38 "Store F"
5.08 263.63 26 42 "Store E"
3.72 138.95 21 41 "Store P"
3.69 172.58 18 29 "Store F"
4.58 209.32 19 44 "Store F"
1.94 70.03 7 27 "Store I"
3.47 209.91 25 47 "Store L"
2.56 190.45 18 33 "Store S"
4 194.33 20 22 "Store S"
4.34 224.12 28 29 "Store D"
2.35 137.57 19 44 "Store K"
5.02 259.98 21 20 "Store H"
5.38 311.26 29 37 "Store R"
