"x" "y" "temp" "holiday" "sales" "central"
"1" 511430.7 5030082.78 29.7 FALSE 1.81 TRUE
"2" 513048.68 5036824.35 29.9 FALSE 1.98 TRUE
"3" 513767.78 5033498.51 30.1 FALSE 1.51 FALSE
"4" 517812.72 5034936.71 30.6 FALSE 1.64 TRUE
"5" 511161.04 5035116.48 33.1 TRUE 1.56 FALSE
"6" 515655.42 5036195.13 29.7 TRUE 1.42 FALSE
"7" 511250.93 5036015.36 31.5 FALSE 1.13 FALSE
"8" 516464.41 5031161.43 30.9 FALSE 2.06 TRUE
"9" 513857.67 5036554.69 30.5 TRUE 1.46 FALSE
"10" 515655.42 5037903 33.3 FALSE 1.43 FALSE
"11" 512149.8 5032419.85 28.5 FALSE 3.08 TRUE
"12" 516554.3 5036374.91 33.2 FALSE 1.27 FALSE
"13" 518082.39 5030172.66 31.2 TRUE 3.18 TRUE
"14" 518621.71 5031341.2 27.5 TRUE 3.18 TRUE
"15" 516913.85 5036914.24 28.8 FALSE 3.21 TRUE
"16" 515026.21 5033947.94 28.3 FALSE 2.9 TRUE
"17" 514846.43 5034127.72 26.1 TRUE 1.93 FALSE
"18" 513138.57 5033138.96 29.5 FALSE 1.6 FALSE
"19" 514936.32 5033498.51 32.9 FALSE 3.38 TRUE
"20" 517093.62 5030082.78 34.4 FALSE 1.97 TRUE
"21" 511161.04 5030711.99 30 FALSE 1.99 TRUE
"22" 516644.18 5029992.89 29.4 FALSE 1.72 TRUE
"23" 518621.71 5033228.84 26.3 TRUE 3.23 TRUE
"24" 516464.41 5035565.92 36.6 TRUE 2.27 TRUE
"25" 513048.68 5037723.22 31.4 FALSE 1.34 FALSE
"26" 518531.82 5037723.22 26.7 FALSE 1.34 FALSE
"27" 516014.97 5037543.45 30.5 FALSE 1.14 FALSE
"28" 513408.23 5035296.26 33.5 FALSE 1.56 FALSE
"29" 518082.39 5037453.56 39.1 FALSE 3.24 TRUE
"30" 511880.14 5037273.79 29.1 FALSE 1.55 FALSE
"31" 513228.45 5035565.92 31.5 TRUE 2.01 FALSE
"32" 515116.09 5030981.65 29.5 FALSE 1.48 FALSE
"33" 518172.27 5031251.31 26.3 FALSE 3.3 TRUE
"34" 517093.62 5030711.99 30.1 FALSE 1.58 TRUE
"35" 510711.6 5033498.51 29.8 FALSE 1.92 TRUE
"36" 512239.69 5031880.53 26.4 FALSE 2.93 TRUE
"37" 515205.98 5034577.16 32 FALSE 1.53 FALSE
"38" 510981.26 5031880.53 36.8 TRUE 2.13 TRUE
"39" 512868.9 5032150.19 27.5 FALSE 1.42 FALSE
"40" 512958.79 5031341.2 29.8 FALSE 1.58 FALSE
"41" 515565.53 5032240.08 36.8 TRUE 2.23 FALSE
"42" 512868.9 5033588.39 32.5 FALSE 1.58 FALSE
"43" 518441.94 5036464.8 28 FALSE 3 TRUE
"44" 516104.86 5030711.99 26.2 TRUE 2.01 TRUE
"45" 515925.08 5030801.88 30.3 FALSE 1.1 FALSE
"46" 516644.18 5031970.42 33.2 TRUE 2.01 FALSE
"47" 512599.24 5033049.07 32.8 FALSE 1.74 FALSE
"48" 513767.78 5031970.42 30.2 FALSE 1.48 TRUE
"49" 515385.76 5034667.04 31.1 FALSE 3.22 TRUE
"50" 512868.9 5034667.04 27.9 FALSE 1.21 FALSE
"51" 517632.95 5037723.22 30.8 FALSE 3.42 TRUE
"52" 513588 5037004.12 27.9 FALSE 1 FALSE
"53" 517093.62 5033138.96 28.3 FALSE 1.07 FALSE
"54" 514307.11 5032419.85 28.6 FALSE 1.52 TRUE
"55" 515835.2 5036824.35 27.9 FALSE 1.19 FALSE
"56" 511610.48 5030352.44 29.1 FALSE 1.71 TRUE
"57" 516464.41 5034756.93 28.9 FALSE 1.98 TRUE
"58" 511700.36 5037094.01 33.7 TRUE 1.84 FALSE
"59" 511161.04 5030532.21 28.5 FALSE 1.14 FALSE
"60" 518531.82 5033678.28 30.6 TRUE 3.22 TRUE
"61" 511880.14 5036285.02 33.2 FALSE 1.24 FALSE
"62" 514307.11 5032599.63 30.7 TRUE 2.21 TRUE
"63" 516644.18 5031610.87 29.7 FALSE 1.25 FALSE
"64" 517363.29 5032419.85 32.8 FALSE 1.68 FALSE
"65" 516644.18 5032060.3 29 FALSE 1.6 FALSE
"66" 515835.2 5035026.6 30.2 FALSE 1.3 FALSE
"67" 513048.68 5037004.12 30 TRUE 1.87 TRUE
"68" 510801.49 5033138.96 29.8 FALSE 1.12 FALSE
"69" 512059.91 5034397.38 28.4 FALSE 1.21 FALSE
"70" 516913.85 5035476.03 24.4 FALSE 0.78 TRUE
"71" 514217.22 5031341.2 29.4 TRUE 2 TRUE
"72" 516734.07 5033408.62 24.4 FALSE 1.67 TRUE
"73" 518262.16 5030082.78 31.9 FALSE 1.54 FALSE
"74" 515475.64 5036374.91 28.8 FALSE 1.17 FALSE
"75" 515385.76 5031970.42 29.6 FALSE 1.97 TRUE
"76" 516734.07 5031431.09 23.4 TRUE 1.36 FALSE
"77" 515026.21 5034397.38 28.1 TRUE 3 TRUE
"78" 511520.59 5030532.21 34 FALSE 1.96 TRUE
"79" 516913.85 5036734.46 29.8 FALSE 2.99 TRUE
"80" 511970.03 5031970.42 27.4 TRUE 3 TRUE
"81" 514127.33 5036644.57 32.9 FALSE 1.29 FALSE
"82" 513677.89 5034127.72 30.7 FALSE 1.46 FALSE
"83" 518621.71 5034397.38 27.7 FALSE 1.72 TRUE
"84" 517453.17 5030082.78 31.9 FALSE 1.77 TRUE
"85" 512958.79 5032869.29 30.8 FALSE 1.51 FALSE
"86" 517543.06 5033858.06 27.2 TRUE 1.89 FALSE
"87" 518352.05 5032959.18 31.3 FALSE 1.29 FALSE
"88" 512149.8 5031790.64 27 FALSE 2.98 TRUE
"89" 517273.4 5036195.13 29 FALSE 1.84 TRUE
"90" 514217.22 5034846.82 31.5 FALSE 1.15 FALSE
"91" 515655.42 5032779.4 25.6 FALSE 1.54 FALSE
"92" 518082.39 5035925.47 32.5 TRUE 1.99 TRUE
