"circumference" "length"
0.76 1.11
1.01 1.33
0.87 1.36
1.04 1.21
1.25 1.78
1.13 1.63
1.12 1.54
0.96 1.53
1.03 1.71
1.21 1.75
1.06 1.38
0.75 1.16
0.93 1.38
1.17 1.99
1.17 1.68
1.16 1.73
0.97 1.45
0.79 1.28
0.85 1.15
0.82 1.23
0.81 1.3
1.08 1.77
0.96 1.37
1.29 1.75
0.98 1.31
0.97 1.48
1.01 1.45
0.88 1.3
2.19 3.38
2.06 3.3
2.05 3.2
2.22 3.41
2.25 3.27
2.53 3.78
2 3.34
1.97 2.69
2.41 3.74
2.11 3.11
2.18 3.05
2.32 3.64
2.32 3.36
2.34 3.38
2.12 3.04
2.05 3.15
1.92 3.07
2.3 3.37
2.14 3.22
2.24 3.4
2.39 3.49
2.53 3.4
2.34 3.35
2.29 3.56
2.18 3.24
2.4 3.37
2.29 3.41
2.11 3.07
1.77 3.18
2.05 3.22
2.37 3.7
2.36 3.45
2.53 3.71
2.15 3.46
2.02 3.14
3.16 5.28
2.83 4.53
3.18 5.34
3.43 5.48
3.33 5.47
2.82 4.94
2.98 4.86
2.94 5.04
2.69 4.45
3.36 5.51
2.99 5.02
2.92 5.2
3.32 5.32
3.18 5.11
3.13 5.02
3.05 5.26
3.19 5.14
3.33 5.09
3.02 4.87
2.84 5.06
2.89 4.68
3.03 5.09
2.94 4.85
3.25 5.2
3 4.68
2.86 4.88
3.02 4.92
2.99 4.98
3.01 5.22
3.14 4.8
3.03 5.37
2.94 5.26
3.19 5.11
2.8 4.76
3.01 5.01
3.23 5.34
3.19 5.44
3.16 4.95
3.08 5.21
2.99 4.82
2.9 4.8
3.39 5.37
2.97 5.03
3.84 6.55
3.76 6.11
3.72 6.38
3.45 6.08
3.86 6.44
3.85 6.53
3.96 6.69
3.92 6.77
4.03 7.18
4.16 6.98
3.44 6.17
3.78 6.64
3.83 6.73
3.83 6.24
3.93 6.72
4.34 6.87
3.88 6.74
4.08 6.82
3.84 6.48
4.03 6.44
4.3 7.1
3.89 6.62
4.4 7.22
3.66 6.37
