"x" "y" "pm10" "urban"
"1" 519568 4977094 2.57 1
"2" 641307 5148108 1.91 0
"3" 568843 5119123 1.95 0
"4" 528264 5029268 3.874 3
"5" 505075 5145210 1.9 0
"6" 615220 5081442 2.01 0
"7" 484786 5139413 1.95 0
"8" 647104 5011876 1.96 0
"9" 600728 5052456 2.03 0
"10" 519568 4971297 2.56 1
"11" 484786 5008978 1.99 0
"12" 545655 5000282 1.88 0
"13" 539858 4991587 1.95 0
"14" 458699 4971297 2.03 0
"15" 589133 4959703 1.9 0
"16" 510872 5052456 1.89 0
"17" 476090 5026369 3.182 2
"18" 592032 5116224 1.82 0
"19" 516670 4977094 1.99 0
"20" 650003 5055355 2.03 0
"21" 597829 4962601 1.88 0
"22" 539858 4985790 1.94 0
"23" 609423 4985790 1.98 0
"24" 621017 5075645 2.05 0
"25" 641307 5014775 1.94 0
"26" 534061 5026369 2.02 0
"27" 554351 5084340 1.92 0
"28" 548554 5098833 3.834 3
"29" 560148 5101732 2.1 0
"30" 568843 5139413 1.74 0
"31" 565945 5090137 1.91 0
"32" 516670 5107529 1.79 0
"33" 609423 5119123 1.98 0
"34" 563046 5090137 2.03 0
"35" 525365 5026369 2.59 1
"36" 589133 5084340 1.96 0
"37" 563046 5084340 2.57 1
"38" 568843 5000282 2.02 0
"39" 603626 5107529 1.96 0
"40" 621017 5145210 1.97 0
"41" 655800 5035065 2.57 1
"42" 507974 5084340 2.04 0
"43" 542757 5119123 2.15 0
"44" 519568 5014775 2.56 1
"45" 565945 5011876 3.864 3
"46" 476090 5119123 2.56 1
"47" 629713 5119123 1.98 0
"48" 531162 5107529 3.202 2
"49" 522467 5017674 2.56 1
"50" 484786 5049558 2.05 0
"51" 594930 5148108 1.96 0
"52" 499278 5119123 1.98 0
"53" 528264 5008978 2.59 1
"54" 652901 4956804 1.88 0
"55" 577539 5006079 2.59 1
"56" 571742 5017674 3.182 2
"57" 618119 5017674 1.83 0
"58" 525365 5142311 1.86 0
"59" 496380 5043761 2 0
"60" 574641 5008978 2.1 0
"61" 513771 4974195 2.59 1
"62" 655800 5095934 1.99 0
"63" 516670 5095934 1.76 0
"64" 606525 5066949 2.01 0
"65" 626814 5026369 1.98 0
"66" 638409 5122021 3.182 2
"67" 464496 5011876 1.79 0
"68" 516670 5061152 1.94 0
"69" 536959 5040862 2.57 1
"70" 531162 4962601 1.85 0
"71" 528264 4979992 1.94 0
"72" 461597 5107529 1.99 0
"73" 606525 5011876 1.99 0
"74" 600728 5017674 1.98 0
"75" 519568 5151007 1.86 0
"76" 644206 4988688 1.99 0
"77" 641307 5093036 1.91 0
"78" 565945 5136514 1.71 0
"79" 647104 5069847 1.91 0
"80" 554351 5145210 1.92 0
"81" 629713 5087239 2.57 1
"82" 635510 5148108 1.96 0
"83" 499278 5069847 1.9 0
"84" 586235 4977094 1.84 0
"85" 455800 5011876 1.72 0
"86" 551452 5107529 2.59 1
"87" 493481 5049558 1.87 0
"88" 615220 4977094 2.58 1
"89" 641307 5098833 2.01 0
"90" 467394 5098833 1.95 0
"91" 644206 5032166 1.93 0
"92" 545655 5023471 3.864 3
"93" 600728 5093036 1.89 0
"94" 484786 5124920 2 0
"95" 597829 5029268 1.92 0
"96" 603626 5136514 1.85 0
"97" 612322 5006079 2.05 0
"98" 458699 4994485 2 0
"99" 592032 5145210 1.84 0
"100" 615220 5017674 1.93 0
"101" 635510 5110427 2.05 0
"102" 641307 5040862 1.96 0
"103" 473191 5136514 2.02 0
"104" 650003 4974195 1.96 0
"105" 542757 4959703 1.93 0
"106" 464496 5110427 1.9 0
"107" 597829 5139413 1.79 0
"108" 542757 5116224 3.884 3
"109" 487684 4982891 2.56 1
"110" 507974 5133616 1.76 0
"111" 548554 4959703 3.192 2
"112" 655800 5000282 2.04 0
"113" 586235 5058253 2.56 1
"114" 577539 4971297 3.834 3
"115" 481887 5000282 2.59 1
"116" 478988 5017674 2.03 0
"117" 557249 5104630 3.864 3
"118" 594930 5151007 2.01 0
"119" 606525 5130717 1.92 0
"120" 461597 5148108 3.182 2
"121" 551452 5153905 1.97 0
"122" 574641 4974195 3.182 2
"123" 586235 5081442 1.82 0
"124" 594930 5084340 1.98 0
"125" 574641 5032166 2.03 0
"126" 644206 5113326 2 0
"127" 594930 4956804 1.95 0
"128" 467394 5145210 1.95 0
"129" 597829 5026369 2.59 1
"130" 650003 5011876 1.89 0
"131" 519568 5064050 1.96 0
"132" 481887 5020572 2.02 0
"133" 583336 4997384 2.15 0
"134" 499278 5084340 2.05 0
"135" 542757 5084340 2 0
"136" 612322 5046659 1.88 0
"137" 490583 5156804 2.04 0
"138" 600728 5046659 2.02 0
"139" 557249 4962601 2.03 0
"140" 644206 5055355 2 0
"141" 650003 4956804 1.97 0
"142" 470293 5006079 2 0
"143" 534061 5061152 1.93 0
"144" 586235 5011876 1.92 0
"145" 484786 5148108 1.92 0
"146" 618119 5000282 3.212 2
"147" 586235 5052456 1.97 0
"148" 650003 4959703 2.02 0
"149" 594930 5156804 1.96 0
"150" 470293 5093036 1.93 0
"151" 586235 4982891 2.05 0
"152" 583336 5113326 1.98 0
"153" 589133 5046659 1.79 0
"154" 554351 5122021 1.99 0
"155" 516670 5098833 1.78 0
"156" 603626 5040862 1.84 0
"157" 484786 5066949 2.03 0
"158" 499278 4965500 2.05 0
"159" 644206 4977094 1.95 0
"160" 548554 5026369 3.854 3
