"h0" "h1" "h2" "h3" "h4" "h5" "h6" "h7" "h8" "h9" "h10" "h11" "h12" "h13" "h14" "h15" "h16" "h17" "h18" "h19" "h20" "h21" "h22" "h23" "h24" "daytype"
"2023-01-01" 22.837 22.216 21.104 19.957001 19.267 19.176001 19.600999 20.233 20.278999 22.27 23.948999 25.823 26.822999 26.021 24.949999 24.292 24.128 26.518999 27.762 28.454001 28.377999 27.176999 25.738 23.511 21.939999 "Holiday"
"2023-01-02" 21.939999 20.389 19.465999 18.938001 19.034 19.959 22.930001 27.081999 30.609 33.796001 34.737 34.972999 34.548 33.853999 34.041 34.146001 34.140001 36.118 36.372999 36.670999 35.586 33.139001 30.356 27.426001 23.508001 "Working day"
"2023-01-03" 23.508001 21.927999 20.985001 20.482 20.556999 21.426999 23.964001 28.144 32.303999 35.599 35.857 35.690999 35.175999 34.603001 34.653999 35.273 35.145999 37.274999 37.644 37.735001 36.089 33.471999 30.223001 27.138 23.631999 "Working day"
"2023-01-04" 23.631999 21.541999 20.470002 19.985999 19.935999 21.01 23.899998 27.916 32.057 35.303999 35.476 34.568999 34.170998 32.396 33.009 33.400001 33.934001 36.540999 37.158001 37.382 36.029999 33.173 29.757 26.869 25.740999 "Working day"
"2023-01-05" 25.740999 23.556 22.421 21.799 22.030999 22.940999 26.201 30.525999 34.422001 37.485 37.450999 36.410001 35.735 35.072001 34.995999 35.548 35.638999 37.528 38.38 38.279 36.676 33.927 30.913002 28.308 25.464001 "Working day"
"2023-01-06" 25.464001 23.703999 22.522001 21.666001 21.436999 22.035 23.269 24.993 26.079 28.102001 29.158 30.145 30.688001 29.603 28.307999 28.735001 28.840001 30.800001 32.277 33.118 32.574 31.157999 29.234 27.021001 24.508 "Holiday"
"2023-01-07" 24.508 22.354001 21.208999 20.393 20.16 20.934 22.935 25.38 27.538999 30.262 31.364001 31.303999 31.193 30.865999 30.556001 30.779 30.912 33.210999 34.781001 35.552999 34.445999 31.637001 29.046 26.775 24.766001 "Holiday"
"2023-01-08" 24.766001 22.554 21.290999 20.357 20.022001 20.683001 21.79 23.336 24.316001 27.646 29.951 30.555001 31.454999 30.874 29.815 29.637 29.555 30.976 32.896 34.261 33.572 32.038 29.626999 27.018 24.442999 "Holiday"
"2023-01-09" 24.442999 22.771 21.968999 21.7 21.857001 23.793999 28.945999 36.082 41.447001 44.572001 44.999 44.810999 44.084 44.242001 43.812 43.725 44.006 44.99 44.976 44.304999 43.056001 39.837 35.889 32.672 29.081 "Working day"
"2023-01-10" 29.081 26.951001 26.060001 25.597 25.549999 26.660999 31.267 38.562001 43.754001 46.419 46.874998 46.772999 44.797 43.287998 43.039 42.683999 43.223001 44.604001 45.208999 45.291002 43.649 40.485001 36.098 32.547999 29.385 "Working day"
"2023-01-11" 29.385 27.439999 26.425001 25.979 26.127999 26.910999 31.445999 38.746 44.268998 47.212 47.385 46.02 43.944 42.960001 43.287 43.731999 44.06 45.312001 45.273001 44.575 42.813 39.733999 35.886999 32.646 30.062 "Working day"
"2023-01-12" 30.062 28.301999 27.016001 26.527 26.448999 27.465001 31.972 39.029 44.421999 47.665999 48.068 47.221 45.938999 44.675999 44.397998 44.632 44.588999 45.553998 46.167 45.963001 44.096999 40.871 36.939999 33.501 29.763001 "Working day"
"2023-01-13" 29.763001 27.389 26.504 26.309 26.582 27.729 32.072 39.928999 45.422 48.806 47.817001 47.597 46.109 44.210001 44.812999 45.356 45.259 46.097001 46.755001 46.528 44.136 40.465 36.891999 33.446001 29.699999 "Working day"
"2023-01-14" 29.699999 27.248 25.828 25.241 25.170001 25.457001 27.146 30.693 33.192001 36.291001 36.396999 35.775 34.558 33.920999 32.705 32.322 32.281 34.866001 37.639 38.435 37.068 33.789001 31.336 29.092999 26.965001 "Holiday"
"2023-01-15" 26.965001 24.945 23.41 22.656001 22.388001 22.656 23.735 24.948999 26.2 29.061 30.591001 31.991999 32.819999 31.791 30.755999 30.295 30.283999 32.005001 34.284999 35.540999 35.051 33.195 30.886999 28.259999 25.143001 "Holiday"
"2023-01-16" 25.143001 23.443001 22.817 22.674 23.237 25.266999 30.758 38.489 43.889 47.256001 47.756999 46.794 45.952001 44.826 46.065 47.034999 47.216001 47.549 46.863001 46.667 44.887 41.883999 37.624001 33.650001 30.520999 "Working day"
"2023-01-17" 30.520999 28.364999 27.325 26.895 26.923 28.201999 32.829 40.241 46.138999 48.695 49.408 49.835999 47.859001 46.047999 46.418 47.281 47.606 48.096 47.924001 47.357 44.821 41.947999 37.542 34.152001 30.998 "Working day"
"2023-01-18" 30.998 28.75 27.619999 27.368 27.159001 28.606 33.32 40.419999 45.507001 48.657999 48.238001 48.234999 46.792 44.678 46.146001 47.057 47.204 47.811 47.952 47.636999 45.112001 41.854001 37.754999 33.969 31.085001 "Working day"
"2023-01-19" 31.085001 28.351 27.205 26.891001 26.933001 28.063 32.502 39.552 45.148999 48.021999 49.978001 48.834 47.530999 45.478001 46.532001 47.153999 46.873 46.981 47.205 46.887999 44.666999 41.337999 37.252 33.854999 30.473999 "Working day"
"2023-01-20" 30.473999 28.344999 27.403 26.901001 26.842001 27.965 32.498001 39.448999 45.116 47.797 47.831999 47.186 45.673998 43.713001 44.77 45.490999 45.458 45.943 46.374 45.904999 43.669 40.51 36.390999 33.276 29.782 "Working day"
"2023-01-21" 29.782 27.444 26.177001 25.637 25.446999 26.001 27.733001 31.116999 33.917 37.412 38.625999 37.808 36.806001 35.268 34.049999 33.247 33.276 35.286 38.139 39.013 37.649 34.488001 31.757 29.136001 26.800001 "Holiday"
"2023-01-22" 26.800001 24.854999 23.625 22.917001 22.453 22.728 23.782 25.316 26.842999 29.951001 32.202 33.304001 33.406 32.381 31.549 30.880999 30.121 31.957999 35.07 36.007998 35.503 33.406999 31.038999 28.495 25.847 "Holiday"
"2023-01-23" 25.847 23.826 22.976 22.577 23.075 24.960999 30.376 38.212999 44.594 49.020999 48.987 48.858001 48.250001 46.951999 47.838999 47.742001 47.463001 47.211 48.053 47.461001 44.972 41.624999 37.543001 33.909 30.721 "Working day"
"2023-01-24" 30.721 28.644999 27.627999 27.006999 27.387 28.848 33.230001 40.173999 46.402 49.363 49.452 48.046001 47.105999 46.658999 46.523999 46.405 46.06 46.490001 47.613 47.501 45.312001 41.909001 37.735999 34.318 31.001001 "Working day"
"2023-01-25" 31.001001 28.647999 27.696001 27.491002 28.002001 29.216001 33.516999 41.050001 46.751 49.706001 50.339999 50.791 48.252001 47.04 47.76 48.008 47.286001 47.231001 48.385 48.197 46.571999 43.321001 38.582 34.841001 31.128001 "Working day"
"2023-01-26" 31.128001 28.879999 28.416 27.885 27.85 29.011 33.555999 40.558 46.084 49.415 49.418999 49.994 47.597 46.123 47.494999 47.728001 46.639 46.68 47.593001 47.425 44.834999 41.696 37.554 33.671999 30.665 "Working day"
"2023-01-27" 30.665 28.469 27.562 27.04 27.256001 28.35 32.552999 39.707999 45.376001 48.745 49.714001 50.525999 48.676998 45.608001 46.702999 46.412 44.922001 44.652 45.954 45.827 43.675 40.379999 36.639 33.328 30.544999 "Working day"
