"distance" "altitude"
"1" 0 852
"2" 0.2 915
"3" 0.4 951
"4" 0.6 818
"5" 0.8 933
"6" 1 940
"7" 1.2 903
"8" 1.4 910
"9" 1.6 915
"10" 1.8 908
"11" 2 931
"12" 2.2 922
"13" 2.4 943
"14" 2.6 989
"15" 2.8 1036
"16" 3 1006
"17" 3.2 1002
"18" 3.4 998
"19" 3.6 1013
"20" 3.8 1155
"21" 4 1075
"22" 4.2 1060
"23" 4.4 1072
"24" 4.6 1118
"25" 4.8 1082
"26" 5 1062
"27" 5.2 1157
"28" 5.4 1107
"29" 5.6 1161
"30" 5.8 1139
"31" 6 1234
"32" 6.2 1179
"33" 6.4 1178
"34" 6.6 1194
"35" 6.8 1157
"36" 7 1183
"37" 7.2 1155
"38" 7.4 1200
"39" 7.6 1254
"40" 7.8 1259
"41" 8 1348
"42" 8.2 1261
"43" 8.4 1284
"44" 8.6 1321
"45" 8.8 1306
"46" 9 1321
"47" 9.2 1330
"48" 9.4 1338
"49" 9.6 1381
"50" 9.8 1396
"51" 10 1358
"52" 10.2 1421
"53" 10.4 1414
"54" 10.6 1431
"55" 10.8 1480
"56" 11 1523
"57" 11.2 1586
"58" 11.4 1509
"59" 11.6 1624
"60" 11.8 1534
"61" 12 1626
"62" 12.2 1722
"63" 12.4 1639
"64" 12.6 1633
"65" 12.8 1680
"66" 13 1771
"67" 13.2 1670
"68" 13.4 1787
"69" 13.6 1801
"70" 13.8 1777
"71" 14 1780
"72" 14.2 1776
"73" 14.4 1793
"74" 14.6 1848
"75" 14.8 1919
"76" 15 1844
"77" 15.2 1812
"78" 15.4 1857
"79" 15.6 1914
"80" 15.8 1909
"81" 16 1933
"82" 16.2 1949
"83" 16.4 1917
"84" 16.6 1981
"85" 16.8 2038
"86" 17 2048
"87" 17.2 2058
"88" 17.4 2036
"89" 17.6 2060
"90" 17.8 2036
"91" 18 2098
"92" 18.2 2126
"93" 18.4 2200
"94" 18.6 2188
"95" 18.8 2144
"96" 19 2194
"97" 19.2 2153
"98" 19.4 2251
"99" 19.6 2273
"100" 19.8 2337
"101" 20 2287
"102" 20.2 2273
"103" 20.4 2317
"104" 20.6 2316
"105" 20.8 2325
"106" 21 2387
"107" 21.2 2368
"108" 21.4 2435
"109" 21.6 2466
"110" 21.8 2474
"111" 22 2492
"112" 22.2 2490
"113" 22.4 2488
"114" 22.6 2582
"115" 22.8 2565
"116" 23 2613
"117" 23.2 2546
"118" 23.4 2619
"119" 23.6 2655
"120" 23.8 2643
"121" 24 2652
"122" 24.2 2645
"123" 24.4 2774
"124" 24.6 2738
"125" 24.8 2797
"126" 25 2743
