"mood" "plants" "light" "social" "zone_id"
"1" 4 2 8.68 9.67 "1"
"2" 4.71 3 10.69 3.06 "1"
"3" 6.54 2 14 9.52 "1"
"4" 3.59 0 12.75 6.1 "1"
"5" 3.27 0 10.45 6.43 "1"
"6" 5.11 0 12.22 11.03 "1"
"7" 4.85 4 13.82 9.19 "1"
"8" 7.44 13 12.56 8.93 "1"
"9" 3.76 3 12.94 7.82 "1"
"10" 6.49 4 12.52 11.64 "1"
"11" 4.5 2 14.04 8.14 "1"
"12" 4.03 8 14.06 10.1 "1"
"13" 5.07 10 12.89 8.56 "1"
"14" 3.06 1 11.9 9.08 "1"
"15" 5.78 3 11.53 9.79 "1"
"16" 5.67 0 12.12 9.11 "1"
"17" 6.85 1 10.59 8.09 "1"
"18" 4.63 5 15.23 5.47 "1"
"19" 6.26 4 11.19 6.93 "1"
"20" 3.32 7 9.76 12.19 "1"
"21" 3.05 1 12.87 4.76 "1"
"22" 6.47 2 10.47 7.4 "1"
"23" 3.92 2 14.62 8.94 "1"
"24" 4.61 0 11.47 7.03 "1"
"25" 4.56 0 10.66 9.42 "1"
"26" 3.15 9 10.82 8.84 "1"
"27" 4.67 2 9.36 8.93 "1"
"28" 2.89 6 9.74 8.12 "1"
"29" 7.18 5 11.11 9.3 "1"
"30" 4.58 0 8.37 13.2 "1"
"31" 4.45 4 12.62 6.06 "1"
"32" 3.41 4 13.94 7.59 "1"
"33" 4.34 1 9.36 8.18 "1"
"34" 4.47 2 12.98 5.74 "1"
"35" 4.73 1 11.24 6.45 "1"
"36" 5.24 5 10.26 8 "1"
"37" 1.34 2 18.65 6.11 "1"
"38" 5 0 14.27 8.7 "1"
"39" 7.37 2 11.26 8.36 "1"
"40" 5.17 1 11.49 7.69 "1"
"41" 5.96 3 11.57 7.96 "1"
"42" 4.24 2 12.11 5.31 "1"
"43" 4.42 6 10.14 10.27 "1"
"44" 5 9 9.98 9.73 "1"
"45" 2.84 0 12.72 5.72 "1"
"46" 5.25 2 13.79 8.07 "1"
"47" 3.06 1 12.07 7.17 "1"
"48" 4.55 2 12.34 7.32 "1"
"49" 4.11 1 10.04 8.61 "1"
"50" 4.68 1 10.48 6.3 "1"
"51" 5.36 8 12.68 9.79 "1"
"52" 3.62 3 10.89 5.89 "1"
