"x" "y" "moisture" "season" "growth" "canopy"
"1" 517363.29 5036464.8 22.3 TRUE 1.352 TRUE
"2" 511790.25 5034037.83 14 TRUE 1.071 TRUE
"3" 518262.16 5036285.02 19.5 FALSE 1.268 TRUE
"4" 515835.2 5036195.13 26.5 TRUE 0.803 FALSE
"5" 518531.82 5030262.55 23.1 FALSE 1.655 TRUE
"6" 514846.43 5031251.31 25.9 TRUE 1.718 TRUE
"7" 515385.76 5036464.8 14.6 FALSE 1.49 TRUE
"8" 513588 5033768.17 28 FALSE 1.371 FALSE
"9" 510801.49 5030262.55 30.5 FALSE 0.482 FALSE
"10" 517992.5 5033228.84 18.4 FALSE 1.233 FALSE
"11" 513138.57 5030262.55 20.3 TRUE 0.633 TRUE
"12" 512419.47 5030711.99 30.7 FALSE 1.404 TRUE
"13" 516194.75 5033858.06 14.9 FALSE 1.225 TRUE
"14" 512059.91 5030442.33 30.5 FALSE 1.637 TRUE
"15" 518172.27 5031790.64 26.2 TRUE 1.942 TRUE
"16" 517992.5 5035476.03 17.8 FALSE 1.798 TRUE
"17" 517273.4 5033588.39 26 TRUE 2.127 TRUE
"18" 513048.68 5032599.63 23 FALSE 1.617 TRUE
"19" 517992.5 5030532.21 25.8 FALSE 0.974 FALSE
"20" 515475.64 5031970.42 25.6 FALSE 1.564 TRUE
"21" 513498.12 5034037.83 21.7 FALSE 1.191 TRUE
"22" 512509.35 5037363.67 25.5 FALSE 1.578 TRUE
"23" 512689.13 5036824.35 18.9 TRUE 1.567 TRUE
"24" 512329.58 5034577.16 27 TRUE 0.816 FALSE
"25" 511071.15 5034577.16 28.9 TRUE 1.345 TRUE
"26" 518531.82 5029903 24 FALSE 0.702 FALSE
"27" 517902.61 5030352.44 26.3 FALSE 1.639 TRUE
"28" 514846.43 5033858.06 31.8 FALSE 1.387 TRUE
"29" 516644.18 5036195.13 23.2 FALSE 1.286 TRUE
"30" 514846.43 5034127.72 30.9 FALSE 1.562 TRUE
"31" 517453.17 5033498.51 23.7 FALSE 2.253 TRUE
"32" 518621.71 5037363.67 23 FALSE 0.428 FALSE
"33" 513228.45 5033049.07 23.2 FALSE 1.224 TRUE
"34" 517003.73 5030442.33 27.6 FALSE 1.725 TRUE
"35" 517093.62 5034577.16 19.9 FALSE 1.268 FALSE
"36" 510711.6 5037903 32.4 TRUE 0.732 FALSE
"37" 512509.35 5035476.03 27.1 FALSE 2.17 TRUE
"38" 518441.94 5036015.36 31.7 TRUE 0.777 FALSE
"39" 516374.52 5029992.89 25.6 FALSE 1.45 TRUE
"40" 514756.54 5034217.61 24.9 FALSE 1.447 TRUE
"41" 511610.48 5035026.6 25.9 FALSE 1.76 TRUE
"42" 512958.79 5037094.01 22.2 FALSE 1.426 TRUE
"43" 513588 5037903 25.1 FALSE 1.311 TRUE
"44" 518441.94 5037183.9 24.6 TRUE 1.289 TRUE
"45" 517003.73 5036374.91 24.4 FALSE 0.196 FALSE
"46" 510891.38 5036195.13 24.9 TRUE 1.891 TRUE
"47" 514846.43 5033228.84 20.3 TRUE 1.216 TRUE
"48" 513857.67 5035925.47 29.7 FALSE 2.103 TRUE
"49" 512599.24 5036644.57 26.4 TRUE 1.668 TRUE
"50" 513857.67 5030172.66 22.2 FALSE 1.278 TRUE
"51" 513947.56 5036914.24 20.9 FALSE 1.546 FALSE
"52" 514486.88 5035116.48 25.8 FALSE 1.152 FALSE
"53" 510981.26 5037723.22 24.2 TRUE 1.316 TRUE
"54" 514396.99 5032509.74 21.6 FALSE 1.41 TRUE
"55" 511250.93 5031520.98 29.5 TRUE 1.119 TRUE
"56" 514127.33 5036374.91 26.8 FALSE 2.131 TRUE
"57" 513318.34 5030172.66 21.1 FALSE 0.779 TRUE
"58" 513857.67 5030082.78 23 FALSE 1.489 TRUE
"59" 510981.26 5031700.75 18.8 FALSE 1.177 TRUE
"60" 511610.48 5037723.22 24.4 FALSE 1.696 TRUE
"61" 511790.25 5034217.61 29.5 FALSE 0.773 FALSE
"62" 511790.25 5035655.81 28.1 FALSE 1.126 FALSE
"63" 516464.41 5030352.44 29.7 FALSE 1.391 TRUE
"64" 517722.84 5037813.11 30.2 FALSE 2.318 TRUE
"65" 513228.45 5034756.93 31.2 FALSE 1.591 TRUE
"66" 512239.69 5036734.46 22.6 TRUE 1.822 TRUE
"67" 516374.52 5030082.78 19.6 TRUE 0.876 TRUE
"68" 517453.17 5030891.76 19.8 FALSE 1.338 TRUE
"69" 511610.48 5036374.91 30.3 FALSE 1.492 TRUE
"70" 513857.67 5036554.69 21.1 FALSE 2.111 TRUE
"71" 515565.53 5033678.28 20.7 FALSE 1.497 TRUE
"72" 512509.35 5030442.33 24.9 FALSE 1.003 TRUE
"73" 515745.31 5031071.54 20.6 TRUE 1.23 TRUE
"74" 514936.32 5035206.37 24.3 TRUE 0.872 TRUE
"75" 515475.64 5030442.33 27.4 TRUE 0.227 FALSE
"76" 512599.24 5037453.56 21.9 TRUE 0.451 FALSE
"77" 511520.59 5037183.9 29.9 FALSE 1.755 TRUE
"78" 516194.75 5033498.51 22.8 FALSE 1.766 TRUE
"79" 515745.31 5030442.33 18.7 FALSE 1.277 TRUE
"80" 514307.11 5032509.74 19.7 FALSE 1.026 TRUE
"81" 517722.84 5030981.65 12.7 FALSE 0.839 FALSE
"82" 511161.04 5036554.69 28.7 TRUE 2.205 TRUE
"83" 512958.79 5037543.45 32 FALSE 1.657 TRUE
"84" 517632.95 5030442.33 31.2 FALSE 1.976 TRUE
"85" 518531.82 5030801.88 22.5 TRUE 1.329 TRUE
"86" 513947.56 5030442.33 24.3 TRUE 0.62 TRUE
